location,202052,202053,202101,202102,202103,202104,202105,202106,202107,202108,202109,202110,202111,202112,202113,202114,202115,202116,202117,202118,202119,202120,202121,202122,202123,202124,202125,202126,202127,202128,202129,202130,202131,202132,202133,202134,202135,202136,202137,202138,202139,202140,202141,202142,202143,202144,202145,202146,202147,202148,202149,202150,202151,202152,202201,202202,202203,202204,202205,202206,202207,202208,202209,202210,202211,202212,202213,202214,202215,202216,202217,202218,202219,202220,202221
Honduras,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.72,0.43,0.0,0.55,0.0,0.0,0.0,0.0,0.0,1.36,2.08,3.19,11.55,17.65,11.53,7.57,19.21,22.17,27.44,15.03,18.02,0.0,0.0,26.78,27.52,58.08,0.0,31.87,33.1,33.16,34.99,38.17,0.0,38.23,39.33,39.63,0.0,43.68,0.0,0.0,0.0,48.85,49.85,50.03,50.04,0.0,51.15,51.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.04,52.4,52.59,59.23,59.33,59.94,0.0
Jamaica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,1.11,1.41,3.09,4.56,0.0,0.0,0.0,4.92,5.05,5.24,5.24,5.49,0.0,5.82,0.0,5.95,11.93,6.01,0.0,8.02,8.64,9.54,35.309999999999995,53.98,61.6,50.15,34.78,35.47,54.879999999999995,93.48,57.85,117.60000000000001,100.36999999999999,123.87,107.01,109.94,112.82000000000001,138.8,117.69,119.02,71.7,72.32,97.62,148.03,99.71000000000001,150.70000000000002,126.58999999999999,153.01,154.06,129.17,129.75,156.46,130.89000000000001,105.0,131.60999999999999,132.0,158.76,132.67999999999998,79.83,106.77999999999999,133.98000000000002,53.7
Mexico,0.0,0.05,0.2,0.9199999999999999,2.36,2.85,2.92,2.45,2.78,6.5600000000000005,7.7,8.459999999999999,12.23,20.29,15.850000000000001,39.690000000000005,47.87,53.260000000000005,46.989999999999995,60.96,44.68,62.470000000000006,73.07,103.67,96.28999999999999,123.6,132.93,143.74,155.93,168.27,150.56,201.82999999999998,223.51999999999998,236.76,253.0,261.07,221.89000000000001,228.08000000000004,282.08,288.28999999999996,244.18,201.07999999999998,205.17000000000002,318.73,216.79,229.22,230.56,289.75,233.35,295.18,181.39999999999998,249.07,188.56,125.78,314.91,316.8,318.64,320.05,385.46000000000004,386.63,389.69999999999993,261.23,392.66,262.1,328.06,328.33,197.08999999999997,0.0,65.78,263.28,131.73000000000002,65.95,65.96,133.36,0.0
Nicaragua,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.92,0.0,0.0,2.48,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.77,0.0,0.0,0.0,0.0,11.86,6.61,6.92,7.11,7.32,0.0,8.3,10.02,0.0,14.09,0.0,18.64,0.0,57.33,0.0,60.48,130.41000000000003,69.06,0.0,72.8,73.73,74.54,75.98,77.59,78.77,79.6,160.28,161.82,81.46,164.08,0.0,0.0,83.62,0.0,0.0,0.0,85.14,85.26,85.49,85.57,0.0
Panama,0.0,0.0,0.0,0.0,0.19,1.0699999999999998,1.35,0.29,1.52,9.66,18.09,24.27,5.38,11.010000000000002,0.0,5.64,6.23,7.69,8.4,9.83,10.67,10.98,12.45,13.95,15.25,17.53,19.4,21.1,22.41,23.98,25.03,29.8,35.23,45.9,53.81,60.17,62.38,63.59,65.5,66.35,67.1,67.91,68.58,68.82,69.15,69.33,0.0,69.51,70.03,70.46,70.69,70.82,71.09,71.23,71.28,71.43,71.66,72.65,73.2,74.09,74.62,75.54,76.03,231.16,155.13,156.66,157.38,78.82,78.87,0.0,79.06,79.11,79.22,79.27,0.0
Paraguay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.12000000000000001,0.28,1.0499999999999998,1.8099999999999998,2.93,3.85,5.33,7.17,8.58,11.709999999999999,15.330000000000002,20.13,25.23,30.44,35.89,46.89,55.92,62.38,78.27000000000001,104.05000000000001,143.91,181.67,189.39999999999998,189.60000000000002,189.66000000000003,189.73000000000002,189.95,65.45,35.33,36.23,38.32,39.32,39.73,0.0,40.43,40.55,44.05,45.42,0.0,93.36,47.3,47.71,47.88,48.06,48.33,48.62,48.86,49.04,50.38,51.5,52.1,52.45,105.50999999999999,53.02,106.7,53.58,53.68,0.0,53.76,0.0,0.0,0.0,54.01,0.0,0.0
Peru,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49,2.4299999999999997,4.779999999999999,6.119999999999999,7.109999999999999,8.740000000000002,10.75,11.86,12.59,13.45,15.31,18.09,24.050000000000004,29.669999999999998,36.95,46.36,55.64,61.290000000000006,69.59,73.97,81.52000000000001,96.24000000000001,114.28,129.93,145.18,150.75,165.98,170.73,181.28,194.07999999999998,217.77999999999997,255.69,280.43,294.65999999999997,308.30999999999995,318.59,332.72999999999996,340.5,354.36,376.85,390.32,403.78,413.08,421.39000000000004,433.92,442.01,445.25,448.0,451.25,453.61,457.72,471.05,482.96,491.41,497.87,503.18000000000006,508.12,512.51,515.42,517.7800000000001,519.54,521.1800000000001,522.4399999999999,524.2599999999999,525.4599999999999,526.0,526.65,87.83
Saint Lucia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.14,9.43,10.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.95,44.910000000000004,61.519999999999996,78.74000000000001,64.72,49.28,66.75,84.32,85.19,51.71000000000001,69.67,35.27,89.77000000000001,55.510000000000005,76.67999999999999,19.93,0.0,45.96,119.16999999999999,74.07,102.12,78.83,53.5,0.0,56.18,113.73,86.29,87.69,147.66,119.11,59.92,150.32,90.52,90.88,121.94,122.84,61.67,61.94,124.3,93.53999999999999,93.74,31.25,62.72,62.9,63.019999999999996,63.1,31.58,31.86,31.88,31.91,31.95,32.01,32.08,0.0
Saint Vincent and the Grenadines,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.48,9.45,0.0,0.0,0.0,0.0,50.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.24,14.13,28.32,28.38,31.88,0.0,0.0,17.43,35.26,17.96,55.45,19.18,20.5,41.620000000000005,68.22,23.94,100.50999999999999,52.31,109.39,84.47,86.09,59.769999999999996,0.0,30.1,0.0,0.0,0.0,30.68,92.83,94.02,31.4,94.89,63.32,160.26,96.81,129.46,64.84,129.83,64.97,32.5,65.08,32.59,32.6,32.81,0.0
Suriname,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.55,10.89,17.17,10.59,17.11,12.04,12.760000000000002,14.33,16.28,38.88999999999999,44.72,35.65,58.5,103.36,125.8,135.14000000000001,139.97,147.73,184.13,187.70999999999998,190.57999999999998,193.73999999999998,196.89999999999998,200.79000000000002,205.7,211.59000000000003,217.61,223.63,192.43,197.54,202.06,206.15,209.29999999999998,211.75,256.27000000000004,172.28000000000003,173.26,174.15,262.59,87.91,132.24,88.31,132.81,88.93,44.55,134.01,44.77,0.0,44.87,44.92,45.01,45.06,135.3,0.0,45.17,45.2,0.0,45.22,0.0,0.0,0.0,0.0,45.26
Trinidad and Tobago,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.34,2.0300000000000002,9.02,17.41,19.09,25.85,8.84,31.680000000000003,43.27,57.17,71.53,65.84,90.72,94.96,65.39,117.53999999999998,154.31,171.69,183.6,197.12,210.56,219.08,229.5,239.64,246.05999999999997,251.73000000000002,260.11,269.01000000000005,275.65000000000003,279.36,235.06,284.85,287.97,291.13,294.53,297.37,299.44000000000005,301.45,151.93,204.28,257.88,311.48,312.73,261.69,262.52,315.77000000000004,263.79,264.3,317.63,265.14,265.5,0.0,0.0,0.0,212.94,266.28,213.1,159.87,266.58,106.67
Uruguay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.96,23.189999999999998,41.27,70.69,106.49000000000001,133.42999999999998,163.69,190.82999999999998,200.48,208.99,219.97999999999996,253.64,289.40999999999997,321.59,352.28000000000003,367.64,377.47,389.71000000000004,402.04999999999995,417.35,430.99000000000007,441.2,446.20000000000005,449.6,452.41999999999996,454.22,455.31,458.86,461.53999999999996,462.95,464.41,465.47999999999996,466.76000000000005,467.97999999999996,468.79,469.58000000000004,470.45,471.33,472.08,472.46,472.91999999999996,473.62,474.47,474.80999999999995,475.15,478.14,485.33000000000004,492.75,499.36,504.3,506.71000000000004,508.27000000000004,509.2,510.15,510.91999999999996,511.57,512.07,512.5000000000001,427.28999999999996,427.51,427.96000000000004,428.34000000000003,428.57000000000005,428.71999999999997,257.32000000000005
Venezuela,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.05,0.34,0.0,0.87,0.0,0.0,0.0,0.0,1.1,0.0,0.0,2.05,3.76,4.26,0.0,7.96,10.1,0.0,0.0,0.0,0.0,0.0,20.92,0.0,23.77,0.0,30.66,33.9,34.58,0.0,0.0,0.0,48.28,0.0,0.0,0.0,57.19,0.0,64.08,0.0,0.0,0.0,0.0,0.0,72.59,75.73,77.19,0.0,0.0,0.0,0.0,0.0,77.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
