date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
2021-08-16,0.2796610169491525,18.147058823529413,6.901287553648069,8.308823529411764,-41.35761589403973,11.151079136690647
2021-08-17,9.570247933884298,41.1958762886598,3.516,17.253731343283583,10.982578397212544,3.7655172413793103
2021-08-18,8.785714285714286,36.5,0.5928853754940712,11.301369863013699,14.169611307420494,4.79020979020979
2021-08-19,5.496124031007752,31.15,-4.922480620155039,6.845070422535211,12.36551724137931,5.457746478873239
2021-08-20,5.916666666666667,32.714285714285715,-5.1678832116788325,7.706666666666667,20.166051660516604,4.836879432624113
2021-08-21,8.184397163120567,34.6822429906542,0.46621621621621623,15.92,20.70731707317073,3.0390625
2021-08-22,5.881118881118881,28.867346938775512,2.363036303630363,11.211267605633802,13.086538461538462,3.4537037037037037
2021-08-23,4.360655737704918,32.48039215686274,-5.130434782608695,11.385714285714286,13.884892086330936,5.28169014084507
2021-08-24,2.346774193548387,28.46,-5.152941176470589,5.985714285714286,13.369718309859154,5.6223776223776225
2021-08-25,7.611111111111111,31.693069306930692,-3.5098814229249014,8.242857142857142,13.73851590106007,5.215277777777778
2021-08-26,8.465116279069768,33.69,-1.416342412451362,7.845070422535211,12.327586206896552,5.375
2021-08-27,8.446969696969697,34.7047619047619,-3.0,7.946666666666666,21.82527881040892,4.425531914893617
2021-08-28,10.198581560283689,37.85321100917431,2.2210884353741496,15.36,21.29268292682927,2.255813953488372
2021-08-29,4.468531468531468,28.216494845360824,-0.8098360655737705,10.428571428571429,12.358851674641148,3.4537037037037037
2021-08-30,5.235772357723577,36.1,-4.788235294117647,14.0,14.691756272401435,5.330985915492958
2021-08-31,10.227642276422765,43.74747474747475,0.35714285714285715,11.676470588235293,16.461267605633804,4.724137931034483
2021-09-01,15.0,48.535353535353536,3.115079365079365,11.471428571428572,15.575971731448764,4.062068965517241
2021-09-02,16.22047244094488,46.323232323232325,3.671875,11.391304347826088,15.006944444444445,3.896551724137931
2021-09-03,12.625954198473282,43.77142857142857,-0.3054545454545455,12.73972602739726,23.14179104477612,3.76056338028169
2021-09-04,14.585714285714285,44.77570093457944,3.828767123287671,20.767123287671232,20.510204081632654,1.4573643410852712
2021-09-05,8.722222222222221,33.381443298969074,0.2691029900332226,14.691176470588236,13.338095238095239,2.3703703703703702
2021-09-06,8.51639344262295,39.73267326732673,-2.7936507936507935,15.594202898550725,14.695035460992909,4.943262411347518
2021-09-07,9.049586776859504,39.57575757575758,0.656,12.720588235294118,17.06713780918728,4.5
2021-09-08,11.198412698412698,37.44,0.4940239043824701,11.366197183098592,16.45774647887324,4.166666666666667
2021-09-09,11.328125,34.78,0.4280155642023346,9.26086956521739,15.937282229965156,4.027586206896552
2021-09-10,9.884615384615385,35.57142857142857,-2.2282608695652173,10.067567567567568,22.90262172284644,4.170212765957447
2021-09-11,12.142857142857142,37.19626168224299,2.6746575342465753,14.356164383561644,20.390243902439025,2.0930232558139537
2021-09-12,8.412587412587413,29.76530612244898,2.6133333333333333,14.7,12.124401913875598,3.0555555555555554
2021-09-13,9.532786885245901,38.584158415841586,0.5622489959839357,15.685714285714285,17.154676258992804,4.211267605633803
2021-09-14,9.311475409836065,37.37373737373738,1.8605577689243027,12.64179104477612,16.721830985915492,4.1328671328671325
2021-09-15,13.793650793650794,40.66326530612245,2.710843373493976,14.958333333333334,15.827464788732394,3.8
2021-09-16,18.787401574803148,48.09375,7.488095238095238,16.029850746268657,14.805555555555555,3.117241379310345
2021-09-17,18.476923076923075,47.23529411764706,4.774074074074074,16.054794520547944,21.238636363636363,2.3309859154929575
2021-09-18,24.073529411764707,47.66981132075472,12.252595155709342,25.84931506849315,20.403292181069958,-0.05426356589147287
2021-09-19,13.435714285714285,33.3125,6.003311258278146,20.5,10.655502392344498,1.2037037037037037
2021-09-20,10.652892561983471,39.85,1.4153225806451613,15.9,16.332142857142856,4.02112676056338
2021-09-21,10.032786885245901,36.84848484848485,-0.14859437751004015,12.298507462686567,17.412811387900355,4.409722222222222
2021-09-22,6.888888888888889,28.262626262626263,-5.550387596899225,9.753424657534246,17.93189964157706,4.993055555555555
2021-09-23,12.708661417322835,36.323232323232325,1.1828793774319066,13.865671641791044,17.901408450704224,4.173611111111111
2021-09-24,11.06060606060606,34.77884615384615,-1.043956043956044,8.635135135135135,24.59328358208955,3.6382978723404253
2021-09-25,12.173913043478262,37.05555555555556,4.054421768707483,19.89189189189189,20.666666666666668,1.734375
2021-09-26,10.82394366197183,30.96875,6.69205298013245,17.319444444444443,12.139423076923077,1.8796296296296295
2021-09-27,9.619834710743802,37.686868686868685,-0.3147410358565737,15.242857142857142,20.00729927007299,3.732394366197183
2021-09-28,6.065573770491803,32.707070707070706,-2.739130434782609,10.294117647058824,17.846975088967973,5.048611111111111
2021-09-29,10.80952380952381,36.97959183673469,-1.8267716535433072,10.394366197183098,19.512544802867385,3.762237762237762
2021-09-30,18.055118110236222,46.123711340206185,3.525096525096525,14.028985507246377,19.141843971631207,3.3680555555555554
2021-10-01,20.70769230769231,51.754901960784316,5.461254612546125,14.438356164383562,27.265151515151516,2.176056338028169
2021-10-02,21.144927536231883,50.90654205607477,9.168965517241379,22.23611111111111,21.983739837398375,0.46511627906976744
2021-10-03,17.24113475177305,42.840425531914896,9.745874587458745,21.91549295774648,13.047846889952153,1.1481481481481481
2021-10-04,13.19672131147541,44.67,2.314516129032258,16.704225352112676,20.727941176470587,2.7902097902097904
2021-10-05,13.866666666666667,44.27835051546392,3.4820717131474104,14.17910447761194,20.28825622775801,3.3904109589041096
2021-10-06,14.576,40.62244897959184,0.6031746031746031,13.23943661971831,19.53214285714286,3.4827586206896552
2021-10-07,15.740157480314961,37.91919191919192,2.7209302325581395,15.579710144927537,19.1993006993007,3.386206896551724
2021-10-08,13.287878787878787,38.71153846153846,-0.4290909090909091,15.302631578947368,26.321969696969695,2.9788732394366195
2021-10-09,14.70503597122302,38.429906542056074,3.9727891156462585,18.945205479452056,21.089068825910932,1.682170542635659
2021-10-10,7.394366197183099,27.3265306122449,-0.5182724252491694,14.102941176470589,12.775119617224881,3.1296296296296298
2021-10-11,14.834710743801653,40.05050505050505,4.755102040816326,21.26086956521739,13.881720430107526,4.26056338028169
2021-10-12,15.680672268907562,37.642857142857146,5.514056224899599,17.907692307692308,14.066433566433567,3.9791666666666665
2021-10-13,19.272,39.229166666666664,7.906122448979592,18.1,13.083916083916083,3.335664335664336
2021-10-14,16.03937007874016,33.52040816326531,3.187250996015936,19.61764705882353,10.725694444444445,4.215277777777778
2021-10-15,22.77952755905512,48.470588235294116,12.155893536121672,25.057142857142857,17.64835164835165,2.5704225352112675
2021-10-16,22.029411764705884,44.51456310679612,16.93617021276596,38.63636363636363,17.38617886178862,0.65625
2021-10-17,27.16788321167883,40.666666666666664,31.525951557093425,26.28985507246377,11.9,0.027777777777777776
2021-10-18,10.179487179487179,26.07,18.102678571428573,16.104477611940297,-40.18,9.242857142857142
2021-10-19,17.25,45.83673469387755,6.963562753036437,22.65625,20.414893617021278,1.8767123287671232
2021-10-20,16.952,41.458333333333336,3.8266129032258065,18.771428571428572,18.931654676258994,3.220689655172414
2021-10-21,16.03937007874016,38.927083333333336,1.2170542635658914,18.941176470588236,19.512280701754385,3.268965517241379
2021-10-22,12.320610687022901,36.04716981132076,-2.2720588235294117,15.864864864864865,28.007575757575758,3.219858156028369
2021-10-23,11.485714285714286,33.93577981651376,-1.5590277777777777,19.791666666666668,22.975510204081633,2.643410852713178
2021-10-24,11.591549295774648,31.628865979381445,2.737541528239203,18.347826086956523,15.599033816425122,3.3796296296296298
2021-10-25,11.819672131147541,37.068627450980394,-1.4578313253012047,21.676470588235293,21.714285714285715,3.5174825174825175
