epiweek,Cases
2021-09-14,83.0
2021-09-15,66.0
2021-09-16,76.0
2021-09-17,61.0
2021-09-18,69.0
2021-09-19,65.0
2021-09-20,72.0
2021-09-21,73.0
2021-09-22,73.0
2021-09-23,73.0
2021-09-24,78.0
2021-09-25,53.0
2021-09-26,74.0
2021-09-27,80.0
2021-09-28,48.0
2021-09-29,67.0
2021-09-30,59.0
2021-10-01,68.0
2021-10-02,78.0
2021-10-03,57.0
2021-10-04,68.0
2021-10-05,82.0
2021-10-06,58.0
2021-10-07,61.0
2021-10-08,75.0
2021-10-09,65.0
2021-10-10,68.0
2021-10-11,81.0
2021-10-12,64.0
2021-10-13,65.0
2021-10-14,73.0
2021-10-15,69.0
2021-10-16,76.0
2021-10-17,54.0
2021-10-18,57.0
2021-10-19,69.0
2021-10-20,60.0
2021-10-21,77.0
2021-10-22,64.0
2021-10-23,58.0
2021-10-24,79.0
2021-10-25,70.0
2021-10-26,62.0
2021-10-27,76.0
2021-10-28,56.0
2021-10-29,66.0
2021-10-30,62.0
2021-10-31,71.0
2021-11-01,72.0
2021-11-02,58.0
2021-11-03,74.0
2021-11-04,60.0
2021-11-05,64.0
2021-11-06,74.0
2021-11-07,71.0
2021-11-08,82.0
2021-11-09,60.0
2021-11-10,72.0
2021-11-11,76.0
2021-11-12,67.0
2021-11-13,86.0
2021-11-14,76.0
2021-11-15,68.0
2021-11-16,94.0
2021-11-17,87.0
2021-11-18,80.0
2021-11-19,68.0
2021-11-20,95.0
2021-11-21,81.0
2021-11-22,85.0
2021-11-23,56.0
2021-11-24,88.0
2021-11-25,91.0
2021-11-26,86.0
2021-11-27,89.0
2021-11-28,86.0
2021-11-29,107.0
2021-11-30,76.0
2021-12-01,80.0
2021-12-02,76.0
2021-12-03,105.0
2021-12-04,112.0
2021-12-05,85.0
2021-12-06,87.0
2021-12-07,98.0
2021-12-08,92.0
2021-12-09,87.0
2021-12-10,85.0
2021-12-11,87.0
2021-12-12,91.0
2021-12-13,77.0
2021-12-14,78.0
2021-12-15,78.0
2021-12-16,92.0
2021-12-17,93.0
2021-12-18,101.0
2021-12-19,90.0
2021-12-20,88.0
2021-12-21,87.0
2021-12-22,73.0
2021-12-23,88.0
2021-12-24,74.0
2021-12-25,78.0
2021-12-26,74.0
2021-12-27,80.0
2021-12-28,81.0
2021-12-29,67.0
2021-12-30,88.0
2021-12-31,66.0
2022-01-01,86.0
2022-01-02,92.0
2022-01-03,73.0
2022-01-04,110.0
2022-01-05,97.0
2022-01-06,103.0
2022-01-07,107.0
2022-01-08,116.0
2022-01-09,110.0
2022-01-10,144.0
2022-01-11,157.0
2022-01-12,158.0
2022-01-13,172.0
2022-01-14,186.0
2022-01-15,225.0
2022-01-16,213.0
2022-01-17,244.0
2022-01-18,256.0
2022-01-19,267.0
2022-01-20,266.0
2022-01-21,335.0
2022-01-22,307.0
2022-01-23,291.0
2022-01-24,280.0
2022-01-25,353.0
2022-01-26,347.0
2022-01-27,352.0
2022-01-28,356.0
2022-01-29,339.0
2022-01-30,358.0
2022-01-31,353.0
2022-02-01,302.0
2022-02-02,305.0
2022-02-03,336.0
2022-02-04,320.0
2022-02-05,344.0
2022-02-06,315.0
2022-02-07,282.0
2022-02-08,294.0
2022-02-09,266.0
2022-02-10,256.0
2022-02-11,226.0
2022-02-12,202.0
2022-02-13,221.0
2022-02-14,195.0
2022-02-15,221.0
2022-02-16,169.0
2022-02-17,182.0
2022-02-18,183.0
2022-02-19,176.0
2022-02-20,143.0
2022-02-21,129.0
2022-02-22,147.0
2022-02-23,125.0
2022-02-24,132.0
2022-02-25,126.0
2022-02-26,121.0
2022-02-27,101.0
2022-02-28,112.0
2022-03-01,102.0
2022-03-02,87.0
2022-03-03,93.0
2022-03-04,92.0
2022-03-05,68.0
2022-03-06,82.0
2022-03-07,72.0
2022-03-08,81.0
2022-03-09,86.0
2022-03-10,63.0
2022-03-11,81.0
2022-03-12,62.0
2022-03-13,58.0
2022-03-14,57.0
2022-03-15,74.0
2022-03-16,80.0
2022-03-17,61.0
2022-03-18,46.0
2022-03-19,47.0
2022-03-20,62.0
2022-03-21,71.0
2022-03-22,51.0
2022-03-23,45.0
2022-03-24,53.0
2022-03-25,52.0
2022-03-26,56.0
2022-03-27,54.0
2022-03-28,46.0
2022-03-29,40.0
2022-03-30,47.0
2022-03-31,37.0
2022-04-01,44.0
2022-04-02,49.0
2022-04-03,37.0
2022-04-04,35.0
2022-04-05,43.0
2022-04-06,36.0
2022-04-07,46.0
2022-04-08,38.0
2022-04-09,31.0
2022-04-10,40.0
2022-04-11,28.0
2022-04-12,30.0
2022-04-13,50.0
2022-04-14,38.0
2022-04-15,38.0
2022-04-16,28.0
2022-04-17,41.0
2022-04-18,24.0
2022-04-19,28.0
2022-04-20,29.0
2022-04-21,37.0
2022-04-22,28.0
2022-04-23,37.0
2022-04-24,41.0
2022-04-25,33.0
2022-04-26,27.0
2022-04-27,22.0
2022-04-28,24.0
2022-04-29,24.0
2022-04-30,28.0
2022-05-01,23.0
2022-05-02,26.0
2022-05-03,15.0
2022-05-04,24.0
2022-05-05,4.0
