epiweek,Cases
2021-04-02,8063.0
2021-04-03,12337.0
2021-04-04,8766.0
2021-04-05,14649.0
2021-04-06,17923.0
2021-04-07,17336.0
2021-04-08,19159.0
2021-04-09,20040.0
2021-04-10,16660.0
2021-04-11,11888.0
2021-04-12,19654.0
2021-04-13,18177.0
2021-04-14,17126.0
2021-04-15,20386.0
2021-04-16,21334.0
2021-04-17,17558.0
2021-04-18,12271.0
2021-04-19,21867.0
2021-04-20,19253.0
2021-04-21,17386.0
2021-04-22,20416.0
2021-04-23,19532.0
2021-04-24,15991.0
2021-04-25,11528.0
2021-04-26,20387.0
2021-04-27,18083.0
2021-04-28,14232.0
2021-04-29,18144.0
2021-04-30,16402.0
2021-05-01,10554.0
2021-05-02,10170.0
2021-05-03,18278.0
2021-05-04,18088.0
2021-05-05,12805.0
2021-05-06,16257.0
2021-05-07,19034.0
2021-05-08,14869.0
2021-05-09,11430.0
2021-05-10,21097.0
2021-05-11,20068.0
2021-05-12,17846.0
2021-05-13,21081.0
2021-05-14,20566.0
2021-05-15,17631.0
2021-05-16,13295.0
2021-05-17,13213.0
2021-05-18,22527.0
2021-05-19,20768.0
2021-05-20,26364.0
2021-05-21,25682.0
2021-05-22,21604.0
2021-05-23,15819.0
2021-05-24,26538.0
2021-05-25,24763.0
2021-05-26,24240.0
2021-05-27,27106.0
2021-05-28,28880.0
2021-05-29,23168.0
2021-05-30,17998.0
2021-05-31,30369.0
2021-06-01,29521.0
2021-06-02,27287.0
2021-06-03,29048.0
2021-06-04,33140.0
2021-06-05,27060.0
2021-06-06,15958.0
2021-06-07,16638.0
2021-06-08,34362.0
2021-06-09,30629.0
2021-06-10,36880.0
2021-06-11,32765.0
2021-06-12,28292.0
2021-06-13,20373.0
2021-06-14,21466.0
2021-06-15,36602.0
2021-06-16,33436.0
2021-06-17,34133.0
2021-06-18,33537.0
2021-06-19,27443.0
2021-06-20,17873.0
2021-06-21,35200.0
2021-06-22,32863.0
2021-06-23,30742.0
2021-06-24,30242.0
2021-06-25,31732.0
2021-06-26,24470.0
2021-06-27,16201.0
2021-06-28,28369.0
2021-06-29,28665.0
2021-06-30,25611.0
2021-07-01,25474.0
2021-07-02,22887.0
2021-07-03,17362.0
2021-07-04,11531.0
