date,retail_and_recreation_percent_change_from_baseline_Argentina,grocery_and_pharmacy_percent_change_from_baseline_Argentina,parks_percent_change_from_baseline_Argentina,transit_stations_percent_change_from_baseline_Argentina,workplaces_percent_change_from_baseline_Argentina,residential_percent_change_from_baseline_Argentina
2021-09-12,2.9482758620689653,33.577669902912625,1.6476683937823835,-7.6568627450980395,6.05511811023622,1.9274193548387097
2021-09-13,-3.567857142857143,24.895622895622896,-33.71621621621622,-16.31578947368421,22.24705882352941,1.957236842105263
2021-09-14,0.18947368421052632,29.409556313993175,-30.10372340425532,-11.519417475728156,29.731591448931116,0.12903225806451613
2021-09-15,0.7212543554006968,28.589225589225588,-23.212938005390836,-10.926829268292684,30.580568720379148,-0.567741935483871
2021-09-16,0.1111111111111111,27.45117845117845,-24.013123359580053,-12.03755868544601,29.604705882352942,-0.3183279742765273
2021-09-17,4.886363636363637,33.31103678929766,-21.221932114882506,-9.866359447004609,29.714285714285715,-1.0160771704180065
2021-09-18,5.953125,29.94463667820069,-15.051150895140665,-8.569444444444445,6.476885644768856,0.6702127659574468
2021-09-19,-6.996610169491525,14.78640776699029,-20.520408163265305,-16.932692307692307,-5.020565552699229,4.070247933884297
2021-09-20,-0.6958041958041958,27.64625850340136,-28.38292011019284,-13.981308411214954,30.36104513064133,0.07894736842105263
2021-09-21,5.28421052631579,27.754266211604097,-12.52316076294278,-12.606635071090047,12.076566125290023,1.1693811074918568
2021-09-22,-3.5157894736842104,23.13758389261745,-31.416216216216217,-12.642512077294686,34.41469194312796,-0.1774193548387097
2021-09-23,0.020477815699658702,26.687919463087248,-24.94148936170213,-13.316279069767441,34.74047619047619,-0.35691318327974275
2021-09-24,1.4516129032258065,27.311258278145694,-21.918635170603675,-11.845454545454546,30.22748815165877,-0.6407766990291263
2021-09-25,2.8934169278996866,26.4375,-18.104591836734695,-10.924528301886792,6.386861313868613,1.2419928825622777
2021-09-26,-3.1912751677852347,14.576190476190476,-8.829896907216495,-13.235294117647058,-3.9742268041237114,3.0204918032786887
2021-09-27,-13.155709342560554,3.7133333333333334,-30.908602150537636,-15.047169811320755,28.446555819477435,1.2327868852459016
2021-09-28,-2.41522491349481,28.1740614334471,-32.6968085106383,-14.16267942583732,34.291469194312796,0.07766990291262135
2021-09-29,-1.8858131487889274,23.926421404682273,-24.631436314363143,-11.200956937799043,34.826603325415675,-1.0673076923076923
2021-09-30,-5.539249146757679,22.38047138047138,-34.9813829787234,-18.64485981308411,34.79857819905213,0.7290322580645161
2021-10-01,4.368932038834951,33.863787375415285,-23.62857142857143,-9.518691588785046,36.1061320754717,-1.2958199356913183
2021-10-02,1.865625,31.235294117647058,-32.233333333333334,-14.200956937799043,6.174334140435835,2.935483870967742
2021-10-03,-10.777777777777779,16.247663551401867,-28.696741854636592,-18.98048780487805,-5.242966751918159,5.879166666666666
2021-10-04,0.8745644599303136,29.07457627118644,-25.811475409836067,-10.976190476190476,38.87769784172662,-1.1270358306188926
2021-10-05,7.475524475524476,37.304794520547944,-21.777479892761395,-4.9951923076923075,38.877990430622006,-2.1337579617834397
2021-10-06,7.515679442508711,36.96621621621622,-22.463806970509385,-2.883495145631068,39.02392344497608,-2.4394904458598727
2021-10-07,15.157534246575343,46.044673539518904,-17.32171581769437,3.8743961352657004,33.02375296912114,-3.808176100628931
2021-10-08,4.2064516129032254,29.697674418604652,-16.934725848563968,-11.35813953488372,-22.708045977011494,5.363036303630363
2021-10-09,12.788643533123029,36.072916666666664,-5.244215938303342,-3.8564593301435406,-1.8144578313253013,0.30714285714285716
2021-10-10,9.416382252559726,25.738095238095237,-5.221374045801527,-9.714285714285714,-6.338461538461538,2.0080971659919027
2021-10-11,-13.663230240549828,-1.7663230240549828,-9.525423728813559,-17.8,-43.314942528735635,6.3355704697986575
2021-10-12,9.968421052631578,40.248275862068965,-20.836898395721924,4.505,36.85167464114833,-2.7626582278481013
2021-10-13,2.9649122807017543,31.127946127946128,-27.609625668449198,-7.354066985645933,36.55924170616114,-0.9424920127795527
2021-10-14,1.5931034482758621,30.2996632996633,-31.036745406824146,-8.887323943661972,38.279620853080566,-0.9228295819935691
2021-10-15,11.794788273615636,41.804054054054056,-22.16971279373368,-0.9342723004694836,38.451306413301666,-2.2747603833865813
2021-10-16,23.64724919093851,52.63986013986014,-10.438144329896907,4.758454106280193,10.731234866828087,-0.6631205673758865
2021-10-17,7.562068965517241,25.52857142857143,-15.02798982188295,-5.014778325123153,6.712401055408971,-0.7051792828685259
2021-10-18,3.2253521126760565,28.658703071672356,-21.33150684931507,-3.3509615384615383,38.700239808153476,-1.4967532467532467
2021-10-19,6.627177700348432,32.455479452054796,-18.547169811320753,-2.284313725490196,40.729665071770334,-2.2229299363057327
2021-10-20,6.643356643356643,31.585858585858585,-14.252747252747254,-3.0913461538461537,39.78622327790974,-2.3205128205128207
2021-10-21,5.095238095238095,29.437710437710436,-19.251989389920425,-6.679245283018868,38.90238095238095,-1.7261146496815287
2021-10-22,3.0258064516129033,27.94,-27.127604166666668,-8.427906976744186,38.79952267303103,-0.9064516129032258
2021-10-23,4.952830188679245,29.427083333333332,-25.448101265822785,-8.895238095238096,6.185542168674699,2.8014440433212995
2021-10-24,1.4527027027027026,17.492822966507177,-9.354591836734693,-9.584158415841584,-3.3714285714285714,3.1497975708502026
2021-10-25,3.3554006968641117,27.91186440677966,-21.30163043478261,-7.702830188679245,40.60144927536232,-1.37012987012987
2021-10-26,6.722222222222222,30.866438356164384,-18.328877005347593,-5.85024154589372,41.83453237410072,-2.2984126984126982
2021-10-27,6.293706293706293,29.47138047138047,-14.711538461538462,-4.863414634146341,40.7708830548926,-2.535031847133758
