date,retail_and_recreation_percent_change_from_baseline_Chile,grocery_and_pharmacy_percent_change_from_baseline_Chile,parks_percent_change_from_baseline_Chile,transit_stations_percent_change_from_baseline_Chile,workplaces_percent_change_from_baseline_Chile,residential_percent_change_from_baseline_Chile
2020-04-17,-58.95238095238095,-40.85245901639344,-59.3,-61.142857142857146,-38.878787878787875,24.267857142857142
2020-04-18,-62.25,-43.73015873015873,-65.1159420289855,-62.666666666666664,-33.875,20.612244897959183
2020-04-19,-69.47540983606558,-54.596774193548384,-69.98591549295774,-70.21311475409836,-35.359375,20.020833333333332
2020-04-20,-56.11290322580645,-41.21311475409836,-56.943661971830984,-59.03225806451613,-37.166666666666664,19.732142857142858
2020-04-21,-56.58730158730159,-40.29032258064516,-57.2,-57.693548387096776,-37.95454545454545,19.053571428571427
2020-04-22,-57.4375,-40.39344262295082,-57.84285714285714,-57.67741935483871,-37.621212121212125,19.571428571428573
2020-04-23,-58.96774193548387,-41.95161290322581,-59.52857142857143,-60.354838709677416,-38.07575757575758,20.767857142857142
2020-04-24,-58.74603174603175,-41.41935483870968,-60.61971830985915,-61.142857142857146,-36.98461538461538,23.107142857142858
2020-04-25,-61.171875,-43.37096774193548,-64.49295774647888,-61.76190476190476,-32.390625,20.12
2020-04-26,-68.21311475409836,-53.16129032258065,-69.74285714285715,-69.50819672131148,-33.78125,19.291666666666668
2020-04-27,-56.03225806451613,-42.049180327868854,-58.18571428571428,-59.61290322580645,-34.16923076923077,19.649122807017545
2020-04-28,-55.15873015873016,-39.85245901639344,-56.605633802816904,-56.19047619047619,-35.196969696969695,17.05263157894737
2020-04-29,-54.44444444444444,-37.90163934426229,-56.690140845070424,-54.67741935483871,-34.166666666666664,18.649122807017545
2020-04-30,-47.23809523809524,-24.65,-50.225352112676056,-49.96774193548387,-33.40909090909091,15.807017543859649
2020-05-01,-79.80952380952381,-77.45901639344262,-66.78873239436619,-72.46774193548387,-70.59701492537313,32.36734693877551
2020-05-02,-55.25,-34.96774193548387,-62.23943661971831,-60.333333333333336,-33.75,19.4
2020-05-03,-64.69354838709677,-46.564516129032256,-68.3943661971831,-67.46666666666667,-30.78125,18.8125
2020-05-04,-48.55555555555556,-31.868852459016395,-53.394366197183096,-53.53225806451613,-30.73846153846154,17.403508771929825
2020-05-05,-48.41269841269841,-30.65573770491803,-52.140845070422536,-51.193548387096776,-31.630769230769232,17.017543859649123
2020-05-06,-50.682539682539684,-33.24590163934426,-53.49295774647887,-52.25806451612903,-32.0,18.49122807017544
2020-05-07,-50.74603174603175,-32.442622950819676,-53.19718309859155,-54.193548387096776,-31.96969696969697,19.19298245614035
2020-05-08,-50.57142857142857,-32.57377049180328,-54.70422535211268,-54.65079365079365,-30.107692307692307,21.29824561403509
2020-05-09,-50.359375,-29.870967741935484,-58.51428571428571,-56.3968253968254,-26.078125,18.86
2020-05-10,-60.82539682539682,-41.83606557377049,-65.49295774647888,-64.21311475409836,-20.725806451612904,16.816326530612244
2020-05-11,-53.73015873015873,-41.29032258064516,-56.08450704225352,-58.274193548387096,-31.015384615384615,19.87719298245614
2020-05-12,-53.03174603174603,-38.47540983606557,-56.056338028169016,-56.0,-31.476923076923075,19.649122807017545
2020-05-13,-53.41269841269841,-36.93333333333333,-56.140845070422536,-55.74193548387097,-31.56923076923077,20.31578947368421
2020-05-14,-54.285714285714285,-36.24590163934426,-56.45070422535211,-56.903225806451616,-32.333333333333336,20.43859649122807
2020-05-15,-53.53968253968254,-34.47540983606557,-56.774647887323944,-56.55555555555556,-31.43076923076923,22.80701754385965
2020-05-16,-59.34375,-41.46774193548387,-64.08450704225352,-62.46031746031746,-28.25,21.78
2020-05-17,-66.88709677419355,-50.46774193548387,-69.05633802816901,-69.65573770491804,-29.140625,20.979591836734695
2020-05-18,-55.142857142857146,-40.95161290322581,-59.16901408450704,-59.5,-32.18181818181818,21.140350877192983
2020-05-19,-55.16129032258065,-38.68333333333333,-58.87323943661972,-57.11290322580645,-33.292307692307695,20.771929824561404
2020-05-20,-53.096774193548384,-33.278688524590166,-56.859154929577464,-54.88709677419355,-32.63076923076923,20.105263157894736
2020-05-21,-72.41935483870968,-51.81967213114754,-67.0,-71.51612903225806,-64.07462686567165,31.04
2020-05-22,-54.44444444444444,-37.540983606557376,-58.40845070422535,-60.078125,-35.723076923076924,25.29824561403509
2020-05-23,-58.75,-40.74603174603175,-64.78571428571429,-63.22222222222222,-27.578125,22.46
2020-05-24,-65.77777777777777,-49.983870967741936,-68.84507042253522,-69.64516129032258,-27.90625,21.387755102040817
2020-05-25,-51.83870967741935,-37.62903225806452,-55.985915492957744,-58.23809523809524,-30.723076923076924,20.736842105263158
2020-05-26,-54.16129032258065,-38.78333333333333,-56.385714285714286,-56.935483870967744,-31.215384615384615,20.31578947368421
2020-05-27,-55.274193548387096,-39.36065573770492,-57.943661971830984,-57.557377049180324,-31.03076923076923,21.19298245614035
2020-05-28,-55.91935483870968,-39.32786885245902,-58.098591549295776,-59.354838709677416,-31.53030303030303,22.17543859649123
2020-05-29,-54.04761904761905,-35.80327868852459,-57.34285714285714,-59.03125,-30.123076923076923,24.333333333333332
2020-05-30,-54.921875,-35.857142857142854,-62.042857142857144,-59.46031746031746,-23.421875,20.78
2020-05-31,-62.67741935483871,-45.03225806451613,-66.95774647887323,-66.29032258064517,-23.571428571428573,20.122448979591837
2020-06-01,-50.91935483870968,-34.68852459016394,-56.24285714285714,-57.596774193548384,-29.353846153846153,20.403508771929825
2020-06-02,-52.868852459016395,-35.295081967213115,-57.27142857142857,-55.806451612903224,-31.307692307692307,20.45614035087719
2020-06-03,-54.75806451612903,-37.01639344262295,-58.7887323943662,-56.66129032258065,-31.923076923076923,21.771929824561404
2020-06-04,-53.904761904761905,-36.71666666666667,-57.642857142857146,-56.3968253968254,-31.09090909090909,22.29824561403509
2020-06-05,-52.98412698412698,-35.67213114754098,-57.80281690140845,-58.109375,-29.846153846153847,24.19298245614035
2020-06-06,-55.921875,-37.79032258064516,-64.22535211267606,-60.492063492063494,-24.234375,21.76
2020-06-07,-63.63934426229508,-46.74193548387097,-68.78571428571429,-67.2258064516129,-25.078125,20.79591836734694
2020-06-08,-52.53225806451613,-38.26229508196721,-57.91428571428571,-58.354838709677416,-29.579710144927535,21.228070175438596
2020-06-09,-53.645161290322584,-38.0655737704918,-58.28169014084507,-56.5,-30.529411764705884,21.017543859649123
2020-06-10,-53.96774193548387,-38.13333333333333,-58.28169014084507,-57.45161290322581,-30.869565217391305,21.964912280701753
2020-06-11,-56.54838709677419,-40.049180327868854,-60.12676056338028,-59.868852459016395,-32.46376811594203,22.82456140350877
2020-06-12,-55.904761904761905,-39.24590163934426,-60.2112676056338,-59.87301587301587,-31.492753623188406,25.403508771929825
2020-06-13,-57.765625,-40.84126984126984,-64.38028169014085,-63.53968253968254,-23.597014925373134,22.48
2020-06-14,-64.88709677419355,-49.306451612903224,-68.42857142857143,-69.25806451612904,-22.515151515151516,21.26530612244898
2020-06-15,-54.08064516129032,-40.5,-59.11267605633803,-59.888888888888886,-31.347826086956523,21.50877192982456
2020-06-16,-54.5,-38.80327868852459,-58.929577464788736,-57.0,-32.01449275362319,21.403508771929825
2020-06-17,-58.492063492063494,-41.63333333333333,-62.605633802816904,-60.19047619047619,-34.130434782608695,23.666666666666668
2020-06-18,-56.75806451612903,-39.95,-61.28169014084507,-60.523809523809526,-32.779411764705884,23.42105263157895
2020-06-19,-53.333333333333336,-35.0,-59.40845070422535,-60.03174603174603,-30.797101449275363,24.31578947368421
2020-06-20,-58.5625,-38.01587301587302,-65.8169014084507,-63.96825396825397,-25.73134328358209,23.18
2020-06-21,-67.22222222222223,-49.32258064516129,-70.01449275362319,-70.6984126984127,-18.803030303030305,20.604166666666668
2020-06-22,-59.354838709677416,-46.8,-62.225352112676056,-62.75806451612903,-34.42028985507246,23.263157894736842
2020-06-23,-58.91803278688525,-43.80327868852459,-62.40845070422535,-60.645161290322584,-35.231884057971016,23.035087719298247
2020-06-24,-60.04761904761905,-44.32786885245902,-62.140845070422536,-61.540983606557376,-35.18840579710145,23.719298245614034
2020-06-25,-57.435483870967744,-41.12903225806452,-59.63380281690141,-60.285714285714285,-34.57971014492754,23.596491228070175
