date,retail_and_recreation_percent_change_from_baseline_Bolivia,grocery_and_pharmacy_percent_change_from_baseline_Bolivia,parks_percent_change_from_baseline_Bolivia,transit_stations_percent_change_from_baseline_Bolivia,workplaces_percent_change_from_baseline_Bolivia,residential_percent_change_from_baseline_Bolivia
2020-07-18,-73.10714285714286,-72.46153846153847,-64.97826086956522,-78.51724137931035,-45.787234042553195,32.4
2020-07-19,-75.5,-72.70370370370371,-66.95555555555555,-80.28571428571429,-35.0,28.846153846153847
2020-07-20,-42.689655172413794,-24.0,-35.888888888888886,-53.51428571428571,-24.369565217391305,21.47826086956522
2020-07-21,-43.233333333333334,-27.178571428571427,-37.630434782608695,-54.65714285714286,-26.47826086956522,21.347826086956523
2020-07-22,-44.25,-28.26923076923077,-38.022222222222226,-51.94444444444444,-25.933333333333334,21.652173913043477
2020-07-23,-40.86206896551724,-23.185185185185187,-34.65217391304348,-51.666666666666664,-25.434782608695652,20.565217391304348
2020-07-24,-51.766666666666666,-34.851851851851855,-43.666666666666664,-58.42857142857143,-30.666666666666668,25.863636363636363
2020-07-25,-74.60714285714286,-73.4,-65.3913043478261,-77.65625,-47.82608695652174,33.421052631578945
2020-07-26,-74.57142857142857,-72.5,-66.95744680851064,-78.21428571428571,-37.0,28.642857142857142
2020-07-27,-44.86206896551724,-28.25925925925926,-36.0,-53.44444444444444,-27.847826086956523,23.47826086956522
2020-07-28,-43.43333333333333,-26.75,-35.47826086956522,-50.911764705882355,-26.91304347826087,21.695652173913043
2020-07-29,-44.57142857142857,-27.26923076923077,-35.44444444444444,-50.945945945945944,-26.42222222222222,21.869565217391305
2020-07-30,-45.793103448275865,-30.714285714285715,-36.48888888888889,-52.361111111111114,-29.67391304347826,23.0
2020-07-31,-48.03333333333333,-30.185185185185187,-38.979166666666664,-55.138888888888886,-29.717391304347824,24.681818181818183
2020-08-01,-70.71428571428571,-68.65384615384616,-61.041666666666664,-74.15151515151516,-45.45652173913044,31.63157894736842
2020-08-02,-72.53571428571429,-71.3076923076923,-63.958333333333336,-75.6875,-34.97560975609756,26.846153846153847
2020-08-03,-39.10344827586207,-21.185185185185187,-32.888888888888886,-51.628571428571426,-23.565217391304348,21.17391304347826
2020-08-04,-39.833333333333336,-24.703703703703702,-35.8,-52.81818181818182,-25.782608695652176,20.652173913043477
2020-08-05,-36.785714285714285,-16.11111111111111,-31.318181818181817,-48.14705882352941,-22.886363636363637,18.91304347826087
2020-08-06,-52.266666666666666,-39.57142857142857,-43.38636363636363,-58.75,-46.19565217391305,26.956521739130434
2020-08-07,-52.766666666666666,-42.18518518518518,-42.97872340425532,-62.666666666666664,-33.2,28.09090909090909
