date,retail_and_recreation_percent_change_from_baseline_Barbados,grocery_and_pharmacy_percent_change_from_baseline_Barbados,parks_percent_change_from_baseline_Barbados,transit_stations_percent_change_from_baseline_Barbados,workplaces_percent_change_from_baseline_Barbados,residential_percent_change_from_baseline_Barbados
2020-06-01,-76.0,-79.33333333333333,-36.333333333333336,-83.0,-78.2,32.0
2020-06-02,-31.333333333333332,-16.666666666666668,-22.666666666666668,-52.666666666666664,-37.25,17.333333333333332
2020-06-03,-34.0,-17.0,-20.666666666666668,-51.0,-39.0,17.666666666666668
2020-06-04,-33.666666666666664,-19.333333333333332,-24.333333333333332,-54.0,-38.55555555555556,18.666666666666668
2020-06-05,-44.0,-28.0,-36.5,-58.333333333333336,-37.5,22.0
2020-06-06,-39.333333333333336,-27.0,-27.333333333333332,-61.0,-31.5,16.0
2020-06-07,-48.333333333333336,-30.666666666666668,-32.333333333333336,-71.66666666666667,-32.75,12.0
2020-06-08,-35.666666666666664,-27.0,-22.0,-55.666666666666664,-36.77777777777778,18.0
2020-06-09,-33.333333333333336,-22.333333333333332,-21.666666666666668,-50.333333333333336,-34.55555555555556,17.333333333333332
2020-06-10,-30.0,-20.0,-13.666666666666666,-54.0,-35.888888888888886,16.666666666666668
2020-06-11,-32.666666666666664,-21.666666666666668,-23.0,-55.333333333333336,-37.111111111111114,18.0
2020-06-12,-39.333333333333336,-27.333333333333332,-33.0,-54.333333333333336,-35.0,20.666666666666668
2020-06-13,-32.0,-20.333333333333332,-12.666666666666666,-54.333333333333336,-23.666666666666668,14.0
2020-06-14,-43.666666666666664,-29.333333333333332,-24.0,-66.33333333333333,-29.0,11.0
2020-06-15,-31.333333333333332,-24.333333333333332,-17.666666666666668,-55.666666666666664,-34.111111111111114,16.666666666666668
2020-06-16,-29.0,-19.666666666666668,-19.0,-48.0,-33.75,16.333333333333332
2020-06-17,-27.666666666666668,-18.333333333333332,-11.0,-54.333333333333336,-35.22222222222222,15.333333333333334
2020-06-18,-29.666666666666668,-23.0,-24.666666666666668,-58.0,-36.0,17.333333333333332
2020-06-19,-33.333333333333336,-21.333333333333332,-29.0,-56.333333333333336,-33.0,18.0
2020-06-20,-31.333333333333332,-16.0,-23.333333333333332,-60.0,-22.666666666666668,14.0
2020-06-21,-37.0,-26.333333333333332,-22.666666666666668,-67.33333333333333,-22.75,9.0
2020-06-22,-33.0,-24.333333333333332,-20.666666666666668,-53.333333333333336,-34.888888888888886,16.333333333333332
2020-06-23,-28.0,-20.333333333333332,-20.0,-50.0,-32.77777777777778,16.0
2020-06-24,-24.666666666666668,-14.666666666666666,-9.333333333333334,-50.333333333333336,-33.375,15.333333333333334
2020-06-25,-19.666666666666668,-11.666666666666666,-14.333333333333334,-49.333333333333336,-33.55555555555556,16.0
2020-06-26,-25.0,-15.0,-15.333333333333334,-51.666666666666664,-31.125,17.333333333333332
2020-06-27,-23.0,-11.666666666666666,-7.666666666666667,-51.666666666666664,-21.4,11.0
2020-06-28,-33.666666666666664,-23.333333333333332,-16.333333333333332,-65.33333333333333,-25.5,9.0
2020-06-29,-23.333333333333332,-19.0,-17.0,-47.666666666666664,-31.875,14.666666666666666
2020-06-30,-21.333333333333332,-14.666666666666666,-13.666666666666666,-50.0,-31.11111111111111,14.666666666666666
2020-07-01,-21.0,-11.333333333333334,-9.333333333333334,-48.333333333333336,-32.625,13.666666666666666
2020-07-02,-20.0,-15.0,-10.333333333333334,-50.0,-32.55555555555556,14.666666666666666
2020-07-03,-25.25,-14.0,-8.666666666666666,-51.0,-30.375,15.666666666666666
2020-07-04,-18.0,-13.333333333333334,-0.6666666666666666,-49.666666666666664,-19.166666666666668,10.0
