date,retail_and_recreation_percent_change_from_baseline_Dominican Republic,grocery_and_pharmacy_percent_change_from_baseline_Dominican Republic,parks_percent_change_from_baseline_Dominican Republic,transit_stations_percent_change_from_baseline_Dominican Republic,workplaces_percent_change_from_baseline_Dominican Republic,residential_percent_change_from_baseline_Dominican Republic
2020-04-07,-65.76190476190476,-48.541666666666664,-57.84,-78.91666666666667,-60.903225806451616,29.8
2020-04-08,-66.0,-47.95652173913044,-58.16,-80.07692307692308,-62.38709677419355,31.0
2020-04-09,-65.04761904761905,-43.791666666666664,-56.2,-79.3076923076923,-63.096774193548384,31.2
2020-04-10,-77.18181818181819,-67.16666666666667,-66.07692307692308,-87.72727272727273,-71.51612903225806,39.285714285714285
2020-04-11,-73.52173913043478,-57.333333333333336,-67.5925925925926,-83.76923076923077,-57.233333333333334,28.75
2020-04-12,-74.54545454545455,-60.35,-70.03571428571429,-84.91666666666667,-48.714285714285715,23.142857142857142
2020-04-13,-64.45454545454545,-47.875,-57.64,-79.33333333333333,-60.0,30.4
2020-04-14,-65.42857142857143,-49.541666666666664,-57.44,-79.75,-59.96774193548387,30.0
2020-04-15,-64.0,-47.958333333333336,-56.44,-78.15384615384616,-59.225806451612904,30.8
2020-04-16,-63.285714285714285,-45.291666666666664,-56.84,-77.92307692307692,-60.29032258064516,31.1
2020-04-17,-64.17391304347827,-45.625,-57.73076923076923,-78.84615384615384,-59.2,31.8
2020-04-18,-69.1304347826087,-52.041666666666664,-64.48148148148148,-81.61538461538461,-51.266666666666666,25.77777777777778
2020-04-19,-71.27272727272727,-54.72727272727273,-67.39285714285714,-83.0909090909091,-44.07142857142857,21.857142857142858
2020-04-20,-61.285714285714285,-43.72,-55.88,-77.46153846153847,-57.0,28.8
2020-04-21,-65.95238095238095,-50.875,-59.56,-80.0,-60.74193548387097,30.1
2020-04-22,-62.142857142857146,-44.833333333333336,-55.12,-77.23076923076923,-58.193548387096776,29.4
2020-04-23,-61.714285714285715,-44.82608695652174,-55.08,-78.0,-58.25806451612903,30.3
2020-04-24,-62.78260869565217,-46.0,-56.6,-78.53846153846153,-57.4,31.1
2020-04-25,-66.41666666666667,-49.36,-62.25925925925926,-79.84615384615384,-48.4,25.2
2020-04-26,-68.77272727272727,-53.27272727272727,-65.5,-82.16666666666667,-42.142857142857146,21.142857142857142
2020-04-27,-59.523809523809526,-44.083333333333336,-54.52,-76.3076923076923,-54.516129032258064,28.90909090909091
2020-04-28,-59.285714285714285,-43.958333333333336,-53.08,-76.33333333333333,-54.354838709677416,25.363636363636363
2020-04-29,-59.80952380952381,-44.083333333333336,-53.16,-76.46153846153847,-54.61290322580645,28.636363636363637
