date,retail_and_recreation_percent_change_from_baseline_Peru,grocery_and_pharmacy_percent_change_from_baseline_Peru,parks_percent_change_from_baseline_Peru,transit_stations_percent_change_from_baseline_Peru,workplaces_percent_change_from_baseline_Peru,residential_percent_change_from_baseline_Peru
2020-12-16,-25.4,-7.612903225806452,-21.20769230769231,-32.91111111111111,-11.308943089430894,13.04054054054054
2020-12-17,-23.85,-3.967741935483871,-20.307692307692307,-31.477777777777778,-11.040650406504065,12.945945945945946
2020-12-18,-23.97530864197531,-3.935483870967742,-20.49618320610687,-31.934065934065934,-9.450819672131148,12.716216216216216
2020-12-19,-18.987654320987655,1.032258064516129,-13.902255639097744,-25.775280898876403,-1.8141592920353982,8.25
2020-12-20,-31.297619047619047,-13.311475409836065,-24.902255639097746,-33.96629213483146,-7.290909090909091,10.19047619047619
2020-12-21,-16.835443037974684,4.016129032258065,-14.125,-29.288888888888888,-9.40983606557377,10.932432432432432
2020-12-22,-14.3375,9.516129032258064,-13.6640625,-26.359550561797754,-10.92741935483871,10.54054054054054
2020-12-23,-7.225,26.34426229508197,-6.1,-18.977777777777778,-8.520325203252032,7.8108108108108105
2020-12-24,-20.88888888888889,24.737704918032787,-13.615384615384615,-43.91111111111111,-24.888,16.12162162162162
2020-12-25,-65.8641975308642,-63.46774193548387,-49.015151515151516,-71.80459770114942,-56.7734375,29.0
2020-12-26,-30.096385542168676,-10.96774193548387,-22.87313432835821,-40.9010989010989,-12.657894736842104,13.26865671641791
2020-12-27,-41.870588235294115,-26.629032258064516,-32.007462686567166,-39.86516853932584,-13.252252252252251,14.770491803278688
2020-12-28,-24.337349397590362,-6.645161290322581,-18.86046511627907,-34.611111111111114,-12.37704918032787,12.635135135135135
2020-12-29,-20.825,-2.306451612903226,-16.0546875,-31.988888888888887,-13.048387096774194,12.54054054054054
2020-12-30,-13.451219512195122,11.580645161290322,-10.638461538461538,-25.31111111111111,-9.846774193548388,10.202702702702704
2020-12-31,-14.341463414634147,32.6271186440678,-6.162790697674419,-37.65934065934066,-18.983870967741936,13.972972972972974
2021-01-01,-61.28048780487805,-63.70967741935484,-43.14393939393939,-68.52325581395348,-56.92248062015504,26.67142857142857
2021-01-02,-27.89156626506024,-9.639344262295081,-16.78358208955224,-37.5,-15.939655172413794,13.985074626865671
2021-01-03,-38.66265060240964,-24.516129032258064,-25.225563909774436,-35.51111111111111,-14.785714285714286,13.758064516129032
2021-01-04,-24.853658536585368,-5.67741935483871,-16.875968992248062,-32.91111111111111,-14.235772357723578,13.635135135135135
2021-01-05,-23.620253164556964,-4.983870967741935,-17.62015503875969,-34.01111111111111,-16.211382113821138,13.95945945945946
2021-01-06,-23.926829268292682,-7.725806451612903,-19.376923076923077,-34.25555555555555,-14.528,14.175675675675675
2021-01-07,-24.703703703703702,-6.612903225806452,-21.192307692307693,-35.27777777777778,-15.306451612903226,14.675675675675675
2021-01-08,-25.24390243902439,-9.435483870967742,-23.015267175572518,-37.65934065934066,-13.260162601626016,14.513513513513514
2021-01-09,-23.01219512195122,-8.161290322580646,-20.81954887218045,-34.59340659340659,-6.666666666666667,10.955223880597014
2021-01-10,-33.8433734939759,-22.11111111111111,-27.62406015037594,-39.955555555555556,-13.035714285714286,12.209677419354838
2021-01-11,-22.126582278481013,-7.693548387096774,-21.015384615384615,-34.252747252747255,-13.48360655737705,13.256756756756756
2021-01-12,-23.79268292682927,-10.655737704918034,-22.88372093023256,-35.51111111111111,-16.822580645161292,12.756756756756756
2021-01-13,-27.37037037037037,-15.290322580645162,-27.50375939849624,-39.934065934065934,-19.182539682539684,10.932432432432432
2021-01-14,-29.70731707317073,-16.870967741935484,-31.592307692307692,-40.494505494505496,-23.142857142857142,12.027027027027026
2021-01-15,-36.0375,-23.34426229508197,-37.097744360902254,-45.52173913043478,-25.096774193548388,13.716216216216216
2021-01-16,-34.855421686746986,-17.903225806451612,-34.17164179104478,-42.824175824175825,-18.931623931623932,10.91044776119403
2021-01-17,-65.44303797468355,-63.38709677419355,-59.669172932330824,-66.26744186046511,-42.61206896551724,22.928571428571427
2021-01-18,-31.91358024691358,-17.672131147540984,-32.54545454545455,-41.1978021978022,-23.2,13.175675675675675
2021-01-19,-31.9875,-19.21311475409836,-33.05343511450382,-41.766666666666666,-25.317460317460316,13.756756756756756
2021-01-20,-33.17283950617284,-20.737704918032787,-33.45864661654135,-43.78260869565217,-23.785714285714285,14.27027027027027
2021-01-21,-32.91463414634146,-19.704918032786885,-33.11278195488722,-42.630434782608695,-23.626984126984127,15.04054054054054
2021-01-22,-33.53658536585366,-19.885245901639344,-33.81954887218045,-44.03260869565217,-22.225806451612904,15.561643835616438
2021-01-23,-31.597560975609756,-15.064516129032258,-30.84328358208955,-42.26373626373626,-16.78448275862069,11.776119402985074
2021-01-24,-63.451219512195124,-60.714285714285715,-57.15151515151515,-65.69767441860465,-39.39655172413793,23.596491228070175
2021-01-25,-29.675,-14.852459016393443,-30.653846153846153,-40.472527472527474,-21.32,13.95945945945946
2021-01-26,-30.865853658536587,-17.0,-31.64885496183206,-41.37362637362637,-23.792,14.41891891891892
2021-01-27,-29.890243902439025,-13.934426229508198,-30.401515151515152,-38.43956043956044,-21.72222222222222,14.45945945945946
2021-01-28,-29.10843373493976,-11.639344262295081,-29.415384615384614,-34.61538461538461,-21.436507936507937,13.81081081081081
2021-01-29,-29.402439024390244,-10.295081967213115,-29.374045801526716,-34.22826086956522,-20.25,13.608108108108109
2021-01-30,-27.5609756097561,-4.145161290322581,-25.127819548872182,-31.846153846153847,-12.747826086956522,9.411764705882353
2021-01-31,-67.1358024691358,-60.5,-61.06060606060606,-68.81818181818181,-40.439655172413794,24.551724137931036
2021-02-01,-41.02469135802469,-19.278688524590162,-37.0,-52.2967032967033,-26.712,17.589041095890412
2021-02-02,-40.675,-20.475409836065573,-36.84090909090909,-51.362637362637365,-28.46825396825397,17.743243243243242
2021-02-03,-42.864197530864196,-23.672131147540984,-39.946969696969695,-57.02173913043478,-28.768,18.15068493150685
2021-02-04,-43.506024096385545,-23.852459016393443,-40.46969696969697,-57.58695652173913,-29.182539682539684,18.25
2021-02-05,-43.28048780487805,-22.295081967213115,-40.42424242424242,-57.89010989010989,-27.608,18.375
2021-02-06,-44.61904761904762,-22.61904761904762,-40.628787878787875,-58.108695652173914,-21.71794871794872,16.104477611940297
2021-02-07,-67.575,-59.58730158730159,-61.58015267175573,-74.49397590361446,-40.890756302521005,23.966101694915253
2021-02-08,-40.63291139240506,-20.21311475409836,-37.587786259541986,-55.472527472527474,-27.128,17.22972972972973
2021-02-09,-40.6219512195122,-21.360655737704917,-37.85606060606061,-54.619565217391305,-28.293650793650794,17.216216216216218
2021-02-10,-41.95,-23.672131147540984,-39.416666666666664,-55.43478260869565,-27.61904761904762,18.135135135135137
2021-02-11,-41.2289156626506,-20.885245901639344,-38.88721804511278,-55.505494505494504,-27.264,17.72972972972973
2021-02-12,-40.76829268292683,-18.483870967741936,-40.59090909090909,-56.09782608695652,-26.392,17.315068493150687
2021-02-13,-38.607142857142854,-13.338709677419354,-36.56390977443609,-54.54347826086956,-20.405172413793103,13.104477611940299
