date,retail_and_recreation_percent_change_from_baseline_Colombia,grocery_and_pharmacy_percent_change_from_baseline_Colombia,parks_percent_change_from_baseline_Colombia,transit_stations_percent_change_from_baseline_Colombia,workplaces_percent_change_from_baseline_Colombia,residential_percent_change_from_baseline_Colombia
2020-07-30,-43.792,-22.155963302752294,-38.407407407407405,-52.67901234567901,-25.200657894736842,18.862385321100916
2020-07-31,-47.684615384615384,-23.666666666666668,-40.3202614379085,-56.146341463414636,-19.776271186440677,20.51851851851852
2020-08-01,-57.108695652173914,-37.049586776859506,-47.234177215189874,-57.98780487804878,-18.685185185185187,18.810526315789474
2020-08-02,-69.20930232558139,-53.788990825688074,-57.52215189873418,-68.16455696202532,-25.037815126050422,18.6
2020-08-03,-42.63333333333333,-20.767857142857142,-37.14385964912281,-53.65822784810127,-22.483333333333334,18.35185185185185
2020-08-04,-41.52892561983471,-19.37735849056604,-35.42756183745583,-52.111111111111114,-22.17,18.30275229357798
2020-08-05,-41.32258064516129,-18.678899082568808,-34.13588850174216,-53.6,-22.93708609271523,17.925925925925927
2020-08-06,-38.448,-12.518867924528301,-31.12982456140351,-49.839506172839506,-23.022950819672133,16.18348623853211
2020-08-07,-67.15873015873017,-51.168067226890756,-51.56209150326797,-68.37349397590361,-43.603960396039604,29.329787234042552
2020-08-08,-63.49285714285714,-48.47107438016529,-50.212025316455694,-61.30120481927711,-23.635714285714286,21.066666666666666
2020-08-09,-72.82575757575758,-61.450450450450454,-58.31545741324921,-68.81012658227849,-26.516806722689076,19.26027397260274
2020-08-10,-41.41935483870968,-21.00900900900901,-35.485915492957744,-53.68354430379747,-21.01,17.01834862385321
2020-08-11,-42.04,-22.429906542056074,-36.252631578947366,-52.19753086419753,-22.20265780730897,17.873873873873872
2020-08-12,-43.317460317460316,-23.953703703703702,-36.11929824561403,-54.282051282051285,-22.346666666666668,17.8
2020-08-13,-44.145161290322584,-24.2,-37.14965986394558,-52.40243902439025,-23.64026402640264,18.163636363636364
2020-08-14,-45.89393939393939,-22.464912280701753,-38.016447368421055,-54.21951219512195,-17.670068027210885,18.486238532110093
2020-08-15,-58.198581560283685,-39.85245901639344,-46.05974842767296,-55.629629629629626,-18.420664206642066,18.74736842105263
2020-08-16,-68.88636363636364,-55.0625,-55.68987341772152,-65.5125,-23.523206751054854,17.972972972972972
2020-08-17,-72.86206896551724,-57.70909090909091,-65.71014492753623,-79.03333333333333,-65.71153846153847,27.905882352941177
2020-08-18,-45.129629629629626,-20.25,-38.890625,-56.67857142857143,-28.16304347826087,16.133928571428573
2020-08-19,-47.4,-25.11764705882353,-41.96923076923077,-59.32142857142857,-31.389473684210525,17.70909090909091
2020-08-20,-45.96363636363636,-23.725490196078432,-39.86153846153846,-59.107142857142854,-31.2,17.4375
2020-08-21,-49.982142857142854,-25.814814814814813,-42.47142857142857,-60.4,-26.65934065934066,18.69724770642202
2020-08-22,-58.77777777777778,-37.0,-49.88235294117647,-60.275862068965516,-21.34567901234568,17.166666666666668
2020-08-23,-69.41666666666667,-52.232142857142854,-60.241379310344826,-70.72413793103448,-23.779661016949152,17.2
2020-08-24,-47.74074074074074,-28.01923076923077,-42.285714285714285,-59.25,-28.462365591397848,17.412844036697248
2020-08-25,-46.38181818181818,-25.096153846153847,-40.484375,-57.888888888888886,-28.880434782608695,17.375
2020-08-26,-46.472727272727276,-25.51923076923077,-39.484375,-58.32142857142857,-29.117021276595743,16.927272727272726
2020-08-27,-45.89090909090909,-24.254901960784313,-39.0,-58.17857142857143,-29.106382978723403,16.928571428571427
2020-08-28,-47.232142857142854,-22.923076923076923,-38.71641791044776,-58.13333333333333,-24.233333333333334,17.34862385321101
2020-08-29,-53.98412698412698,-30.25423728813559,-45.470588235294116,-56.857142857142854,-17.098765432098766,14.907216494845361
2020-08-30,-62.78333333333333,-41.833333333333336,-51.951219512195124,-66.58620689655173,-19.275862068965516,14.714285714285714
2020-08-31,-43.55555555555556,-21.403846153846153,-37.69491525423729,-56.407407407407405,-26.902173913043477,16.054054054054053
2020-09-01,-38.68518518518518,-12.795918367346939,-33.476190476190474,-49.0,-26.98913043478261,15.339285714285714
2020-09-02,-39.654545454545456,-15.53061224489796,-35.403225806451616,-50.888888888888886,-28.473118279569892,15.09009009009009
2020-09-03,-38.27272727272727,-14.387755102040817,-34.442622950819676,-51.333333333333336,-28.56382978723404,15.207207207207206
