date,retail_and_recreation_percent_change_from_baseline_Uruguay,grocery_and_pharmacy_percent_change_from_baseline_Uruguay,parks_percent_change_from_baseline_Uruguay,transit_stations_percent_change_from_baseline_Uruguay,workplaces_percent_change_from_baseline_Uruguay,residential_percent_change_from_baseline_Uruguay
2020-05-27,-32.31578947368421,-17.5,-44.42857142857143,-39.05555555555556,-3.5714285714285716,10.333333333333334
2020-05-28,-35.15,-20.75,-43.76190476190476,-43.0,-7.0476190476190474,11.133333333333333
2020-05-29,-32.3,-16.0,-43.38095238095238,-43.5,-3.5714285714285716,11.066666666666666
2020-05-30,-35.68421052631579,-9.157894736842104,-50.04761904761905,-47.0,-5.190476190476191,11.0
2020-05-31,-55.8421052631579,-26.357142857142858,-69.0,-64.22222222222223,-16.0,17.6
2020-06-01,-29.22222222222222,-12.05,-50.42857142857143,-40.77777777777778,-2.238095238095238,11.066666666666666
2020-06-02,-27.055555555555557,-5.9,-43.42857142857143,-37.125,-0.9047619047619048,9.866666666666667
2020-06-03,-22.94736842105263,-4.3,-41.857142857142854,-32.588235294117645,-2.3333333333333335,9.733333333333333
2020-06-04,-25.1,-9.894736842105264,-43.04761904761905,-33.705882352941174,-2.857142857142857,9.933333333333334
2020-06-05,-31.6,-12.3,-56.95238095238095,-38.5,-5.190476190476191,11.933333333333334
2020-06-06,-33.26315789473684,-6.666666666666667,-59.857142857142854,-47.64705882352941,-7.619047619047619,13.444444444444445
2020-06-07,-47.78947368421053,-21.714285714285715,-65.33333333333333,-56.333333333333336,-10.8,15.2
2020-06-08,-21.666666666666668,-6.9523809523809526,-48.04761904761905,-34.125,0.6190476190476191,9.6
2020-06-09,-24.894736842105264,-11.95,-46.04761904761905,-33.64705882352941,0.6190476190476191,9.133333333333333
2020-06-10,-19.63157894736842,-6.55,-40.95238095238095,-29.764705882352942,0.47619047619047616,8.666666666666666
2020-06-11,-25.8,-15.736842105263158,-47.714285714285715,-35.8235294117647,-2.0476190476190474,9.6
2020-06-12,-22.85,-8.8,-46.61904761904762,-35.23529411764706,-0.9047619047619048,9.866666666666667
2020-06-13,-26.666666666666668,-1.6842105263157894,-53.38095238095238,-41.705882352941174,-3.3333333333333335,10.88888888888889
2020-06-14,-34.94444444444444,-14.928571428571429,-52.23809523809524,-48.666666666666664,-2.25,11.833333333333334
2020-06-15,-20.833333333333332,-9.4,-47.666666666666664,-33.1875,1.9523809523809523,8.666666666666666
2020-06-16,-21.22222222222222,-6.7,-37.75,-31.5625,4.476190476190476,7.4375
2020-06-17,-19.0,-4.0,-37.57142857142857,-27.941176470588236,3.5714285714285716,7.466666666666667
2020-06-18,-29.8,-16.0,-53.38095238095238,-37.05882352941177,-3.8095238095238093,9.933333333333334
2020-06-19,-26.9,-9.5,-50.095238095238095,-42.1764705882353,-17.952380952380953,10.928571428571429
2020-06-20,-26.8,-6.473684210526316,-46.476190476190474,-41.0625,-4.333333333333333,10.0
2020-06-21,-43.94444444444444,-24.357142857142858,-62.38095238095238,-54.25,-11.9,14.666666666666666
2020-06-22,-22.444444444444443,-10.095238095238095,-47.76190476190476,-32.611111111111114,1.9523809523809523,8.466666666666667
2020-06-23,-31.05,-16.94736842105263,-53.523809523809526,-38.294117647058826,-1.3333333333333333,9.933333333333334
2020-06-24,-34.7,-19.4,-59.0,-40.888888888888886,-4.428571428571429,11.266666666666667
2020-06-25,-29.85,-15.8,-51.904761904761905,-35.388888888888886,0.38095238095238093,9.375
2020-06-26,-26.55,-13.1,-49.333333333333336,-34.94444444444444,2.5714285714285716,8.8
2020-06-27,-31.36842105263158,-9.631578947368421,-50.04761904761905,-42.6875,-4.904761904761905,10.222222222222221
2020-06-28,-36.666666666666664,-18.714285714285715,-52.61904761904762,-50.22222222222222,-9.7,13.0
2020-06-29,-30.11111111111111,-19.761904761904763,-56.095238095238095,-37.294117647058826,2.4285714285714284,9.0
2020-06-30,-40.85,-24.85,-64.0,-44.77777777777778,-3.8095238095238093,12.666666666666666
2020-07-01,-26.4,-7.8,-53.57142857142857,-33.833333333333336,0.47619047619047616,9.266666666666667
2020-07-02,-20.65,-1.6,-46.04761904761905,-27.88888888888889,3.0,8.1875
2020-07-03,-16.4,1.85,-43.57142857142857,-26.61111111111111,5.238095238095238,7.4375
2020-07-04,-20.77777777777778,2.5555555555555554,-47.38095238095238,-32.75,-3.142857142857143,9.333333333333334
