date,retail_and_recreation_percent_change_from_baseline_El Salvador,grocery_and_pharmacy_percent_change_from_baseline_El Salvador,parks_percent_change_from_baseline_El Salvador,transit_stations_percent_change_from_baseline_El Salvador,workplaces_percent_change_from_baseline_El Salvador,residential_percent_change_from_baseline_El Salvador
2020-04-23,-67.08333333333333,-50.5,-57.666666666666664,-65.0,-58.46666666666667,32.166666666666664
2020-04-24,-65.75,-47.111111111111114,-57.8,-63.44444444444444,-52.93333333333333,32.666666666666664
2020-04-25,-71.07692307692308,-55.666666666666664,-64.86666666666666,-68.6,-48.4,28.8
2020-04-26,-78.41666666666667,-66.33333333333333,-71.6,-74.88888888888889,-43.93333333333333,24.333333333333332
2020-04-27,-62.18181818181818,-46.375,-55.333333333333336,-62.44444444444444,-54.8,31.0
2020-04-28,-62.75,-46.5,-55.46666666666667,-62.111111111111114,-55.2,26.0
2020-04-29,-62.5,-45.25,-54.6,-62.5,-54.733333333333334,30.166666666666668
2020-04-30,-61.0,-41.25,-53.13333333333333,-61.55555555555556,-54.666666666666664,29.0
2020-05-01,-70.83333333333333,-53.888888888888886,-61.0,-70.0,-65.06666666666666,37.8
2020-05-02,-67.07692307692308,-49.44444444444444,-60.8,-65.0,-45.733333333333334,27.4
2020-05-03,-75.6923076923077,-61.888888888888886,-69.46666666666667,-71.1,-41.06666666666667,23.0
2020-05-04,-58.45454545454545,-40.25,-53.4,-61.111111111111114,-51.46666666666667,29.0
2020-05-05,-59.416666666666664,-39.75,-52.266666666666666,-61.77777777777778,-53.06666666666667,28.666666666666668
2020-05-06,-58.0,-36.25,-51.13333333333333,-58.77777777777778,-53.333333333333336,28.333333333333332
2020-05-07,-78.9090909090909,-68.375,-65.46666666666667,-77.33333333333333,-63.266666666666666,35.166666666666664
2020-05-08,-79.08333333333333,-68.77777777777777,-67.0,-75.8,-59.6,38.0
2020-05-09,-79.53846153846153,-68.88888888888889,-69.86666666666666,-78.5,-53.53333333333333,31.4
2020-05-10,-76.83333333333333,-60.75,-68.8,-74.11111111111111,-41.4,22.333333333333332
2020-05-11,-72.63636363636364,-55.22222222222222,-60.666666666666664,-72.88888888888889,-59.333333333333336,33.5
2020-05-12,-74.33333333333333,-61.375,-61.4,-74.22222222222223,-60.06666666666667,32.666666666666664
2020-05-13,-74.33333333333333,-60.5,-61.666666666666664,-72.11111111111111,-60.0,33.5
2020-05-14,-69.83333333333333,-49.0,-58.53333333333333,-69.11111111111111,-59.06666666666667,30.833333333333332
2020-05-15,-71.5,-52.22222222222222,-60.13333333333333,-69.5,-54.2,33.5
2020-05-16,-77.07692307692308,-63.888888888888886,-66.73333333333333,-73.8,-50.06666666666667,30.2
2020-05-17,-80.16666666666667,-65.33333333333333,-71.66666666666667,-74.88888888888889,-40.93333333333333,24.333333333333332
2020-05-18,-68.58333333333333,-51.111111111111114,-58.6,-70.44444444444444,-55.53333333333333,32.166666666666664
2020-05-19,-68.41666666666667,-47.875,-56.666666666666664,-69.66666666666667,-56.666666666666664,30.833333333333332
2020-05-20,-69.83333333333333,-53.375,-57.6,-68.77777777777777,-57.266666666666666,31.833333333333332
2020-05-21,-68.91666666666667,-52.75,-56.53333333333333,-70.33333333333333,-57.0,32.333333333333336
2020-05-22,-67.41666666666667,-47.77777777777778,-57.733333333333334,-68.44444444444444,-51.733333333333334,32.333333333333336
2020-05-23,-72.61538461538461,-54.22222222222222,-64.13333333333334,-71.8,-44.53333333333333,28.2
2020-05-24,-79.5,-65.25,-70.86666666666666,-74.44444444444444,-38.6,24.0
2020-05-25,-69.0909090909091,-53.75,-57.13333333333333,-69.33333333333333,-54.53333333333333,32.0
2020-05-26,-65.33333333333333,-45.0,-54.93333333333333,-67.66666666666667,-53.6,29.5
2020-05-27,-64.41666666666667,-44.125,-54.6,-65.55555555555556,-53.93333333333333,29.833333333333332
2020-05-28,-66.58333333333333,-49.5,-54.733333333333334,-67.11111111111111,-54.06666666666667,30.333333333333332
2020-05-29,-68.33333333333333,-51.44444444444444,-57.86666666666667,-68.55555555555556,-49.666666666666664,31.833333333333332
2020-05-30,-74.38461538461539,-57.0,-67.6,-73.3,-46.53333333333333,27.8
2020-05-31,-81.3,-66.55555555555556,-74.33333333333333,-77.0,-44.86666666666667,21.666666666666668
2020-06-01,-71.41666666666667,-57.55555555555556,-62.86666666666667,-73.11111111111111,-59.13333333333333,32.5
2020-06-02,-67.63636363636364,-50.375,-58.13333333333333,-69.11111111111111,-55.733333333333334,30.0
2020-06-03,-63.166666666666664,-43.25,-55.6,-67.375,-53.93333333333333,29.166666666666668
2020-06-04,-66.16666666666667,-46.25,-57.93333333333333,-68.88888888888889,-56.13333333333333,30.5
2020-06-05,-68.41666666666667,-52.666666666666664,-59.2,-70.1,-51.93333333333333,32.166666666666664
2020-06-06,-70.6923076923077,-56.0,-62.6,-70.6,-42.2,27.2
2020-06-07,-71.3076923076923,-51.625,-65.06666666666666,-69.77777777777777,-32.0,21.25
2020-06-08,-59.72727272727273,-41.0,-51.93333333333333,-65.11111111111111,-49.333333333333336,28.166666666666668
2020-06-09,-61.416666666666664,-48.0,-52.4,-64.55555555555556,-50.2,27.666666666666668
2020-06-10,-59.666666666666664,-45.666666666666664,-52.06666666666667,-65.11111111111111,-49.333333333333336,27.833333333333332
2020-06-11,-57.416666666666664,-38.0,-49.13333333333333,-63.888888888888886,-49.06666666666667,27.5
2020-06-12,-58.0,-39.77777777777778,-50.86666666666667,-63.333333333333336,-44.266666666666666,27.666666666666668
2020-06-13,-64.6923076923077,-51.888888888888886,-58.53333333333333,-66.55555555555556,-35.86666666666667,24.166666666666668
2020-06-14,-69.6923076923077,-54.5,-63.4,-67.22222222222223,-27.333333333333332,20.25
2020-06-15,-52.45454545454545,-32.0,-45.8,-60.0,-44.6,24.833333333333332
2020-06-16,-45.81818181818182,-23.625,-41.733333333333334,-57.55555555555556,-43.13333333333333,21.666666666666668
2020-06-17,-48.90909090909091,-28.25,-44.733333333333334,-61.375,-56.46666666666667,27.666666666666668
2020-06-18,-52.5,-35.25,-47.93333333333333,-60.55555555555556,-45.733333333333334,23.833333333333332
2020-06-19,-50.0,-29.7,-46.0,-59.55555555555556,-40.333333333333336,22.833333333333332
2020-06-20,-54.07692307692308,-35.111111111111114,-50.8,-61.44444444444444,-31.333333333333332,20.166666666666668
2020-06-21,-62.833333333333336,-43.5,-58.86666666666667,-65.77777777777777,-27.066666666666666,18.5
2020-06-22,-44.81818181818182,-27.11111111111111,-43.666666666666664,-57.333333333333336,-43.8,23.166666666666668
2020-06-23,-45.27272727272727,-25.22222222222222,-42.46666666666667,-56.888888888888886,-44.8,22.666666666666668
2020-06-24,-48.09090909090909,-27.77777777777778,-44.53333333333333,-58.625,-44.8,23.166666666666668
2020-06-25,-47.0,-26.0,-42.4,-60.0,-44.6,23.0
2020-06-26,-47.81818181818182,-28.0,-44.86666666666667,-58.625,-39.733333333333334,24.0
2020-06-27,-53.84615384615385,-33.44444444444444,-50.06666666666667,-59.22222222222222,-31.333333333333332,20.333333333333332
2020-06-28,-61.75,-42.5,-58.06666666666667,-63.333333333333336,-28.2,18.5
2020-06-29,-45.72727272727273,-28.77777777777778,-43.2,-57.111111111111114,-42.4,22.833333333333332
2020-06-30,-43.45454545454545,-22.4,-41.666666666666664,-53.888888888888886,-43.2,21.666666666666668
2020-07-01,-45.27272727272727,-23.666666666666668,-43.06666666666667,-54.625,-43.86666666666667,22.666666666666668
2020-07-02,-48.25,-26.875,-44.06666666666667,-55.77777777777778,-45.266666666666666,24.0
2020-07-03,-49.72727272727273,-28.333333333333332,-46.666666666666664,-57.5,-39.93333333333333,24.333333333333332
2020-07-04,-53.76923076923077,-32.888888888888886,-51.733333333333334,-57.22222222222222,-32.2,20.166666666666668
2020-07-05,-61.5,-41.625,-58.86666666666667,-61.111111111111114,-30.066666666666666,17.75
2020-07-06,-46.27272727272727,-30.4,-44.53333333333333,-57.22222222222222,-43.733333333333334,23.5
2020-07-07,-47.81818181818182,-29.666666666666668,-43.666666666666664,-54.0,-44.8,22.833333333333332
2020-07-08,-49.54545454545455,-32.5,-44.86666666666667,-57.25,-44.666666666666664,23.666666666666668
2020-07-09,-50.416666666666664,-34.22222222222222,-45.666666666666664,-58.333333333333336,-45.86666666666667,24.166666666666668
2020-07-10,-52.916666666666664,-37.8,-50.0,-60.875,-41.6,25.833333333333332
2020-07-11,-53.15384615384615,-34.333333333333336,-51.333333333333336,-55.666666666666664,-30.466666666666665,20.166666666666668
2020-07-12,-61.25,-43.25,-57.13333333333333,-61.44444444444444,-29.4,17.5
2020-07-13,-46.09090909090909,-30.0,-44.266666666666666,-55.44444444444444,-43.266666666666666,23.333333333333332
2020-07-14,-47.18181818181818,-28.333333333333332,-44.733333333333334,-53.333333333333336,-44.666666666666664,22.5
2020-07-15,-46.27272727272727,-26.444444444444443,-44.0,-55.5,-43.93333333333333,22.666666666666668
2020-07-16,-45.75,-25.8,-42.8,-54.75,-44.13333333333333,23.0
2020-07-17,-47.333333333333336,-27.7,-44.53333333333333,-56.375,-39.266666666666666,23.333333333333332
2020-07-18,-51.23076923076923,-30.666666666666668,-49.0,-55.0,-29.866666666666667,18.833333333333332
2020-07-19,-58.083333333333336,-38.0,-54.13333333333333,-56.77777777777778,-27.6,16.5
2020-07-20,-44.90909090909091,-28.77777777777778,-43.2,-54.5,-42.53333333333333,22.166666666666668
2020-07-21,-45.18181818181818,-29.0,-42.0,-53.333333333333336,-43.266666666666666,22.166666666666668
2020-07-22,-46.81818181818182,-27.444444444444443,-42.733333333333334,-54.625,-42.8,22.166666666666668
2020-07-23,-47.083333333333336,-28.4,-41.733333333333334,-55.125,-43.2,22.666666666666668
2020-07-24,-45.90909090909091,-25.88888888888889,-41.46666666666667,-53.75,-37.4,22.666666666666668
2020-07-25,-50.5,-30.666666666666668,-46.333333333333336,-53.888888888888886,-28.866666666666667,18.5
2020-07-26,-57.5,-38.875,-51.8,-57.333333333333336,-27.266666666666666,16.25
2020-07-27,-44.09090909090909,-27.5,-41.06666666666667,-54.5,-41.86666666666667,21.5
2020-07-28,-45.45454545454545,-28.5,-41.666666666666664,-55.25,-42.8,21.333333333333332
2020-07-29,-44.5,-25.11111111111111,-39.333333333333336,-52.875,-42.733333333333334,21.166666666666668
2020-07-30,-44.333333333333336,-23.25,-39.8,-52.875,-43.0,21.166666666666668
2020-07-31,-42.666666666666664,-21.7,-39.266666666666666,-52.625,-36.6,20.666666666666668
2020-08-01,-45.916666666666664,-22.666666666666668,-41.666666666666664,-48.55555555555556,-27.6,16.166666666666668
2020-08-02,-53.166666666666664,-32.75,-48.266666666666666,-52.55555555555556,-27.2,13.75
2020-08-03,-40.0,-22.3,-37.2,-54.25,-45.6,21.833333333333332
2020-08-04,-39.81818181818182,-19.5,-35.666666666666664,-58.57142857142857,-46.733333333333334,20.833333333333332
2020-08-05,-44.27272727272727,-27.0,-37.53333333333333,-55.0,-51.733333333333334,24.0
2020-08-06,-52.666666666666664,-37.75,-41.46666666666667,-62.0,-60.93333333333333,27.666666666666668
2020-08-07,-45.5,-25.555555555555557,-39.333333333333336,-54.875,-41.333333333333336,22.333333333333332
2020-08-08,-48.916666666666664,-30.88888888888889,-43.4,-54.111111111111114,-29.533333333333335,17.333333333333332
2020-08-09,-56.75,-39.125,-49.93333333333333,-57.55555555555556,-27.0,14.75
2020-08-10,-43.09090909090909,-27.555555555555557,-39.53333333333333,-56.25,-40.733333333333334,19.5
2020-08-11,-41.54545454545455,-23.333333333333332,-36.2,-58.0,-41.06666666666667,19.0
2020-08-12,-43.0,-26.0,-36.0,-57.57142857142857,-40.2,19.333333333333332
2020-08-13,-43.5,-26.666666666666668,-37.0,-52.5,-41.266666666666666,20.166666666666668
2020-08-14,-44.833333333333336,-25.11111111111111,-40.06666666666667,-53.625,-35.6,19.833333333333332
2020-08-15,-43.5,-20.11111111111111,-38.8,-48.77777777777778,-24.933333333333334,14.666666666666666
2020-08-16,-51.166666666666664,-29.125,-45.666666666666664,-52.875,-24.6,13.0
2020-08-17,-47.333333333333336,-24.333333333333332,-44.333333333333336,-53.5,-41.166666666666664,18.5
2020-08-18,-48.333333333333336,-26.0,-45.333333333333336,-53.0,-40.666666666666664,18.333333333333332
2020-08-19,-50.0,-27.333333333333332,-45.0,-54.0,-40.833333333333336,19.166666666666668
2020-08-20,-50.333333333333336,-27.666666666666668,-47.666666666666664,-54.0,-41.666666666666664,19.333333333333332
2020-08-21,-50.666666666666664,-25.0,-48.0,-51.0,-36.666666666666664,19.5
2020-08-22,-49.4,-26.333333333333332,-47.0,-52.5,-28.4,15.833333333333334
2020-08-23,-57.666666666666664,-36.666666666666664,-51.666666666666664,-69.66666666666667,-26.0,14.0
2020-08-24,-42.666666666666664,-25.666666666666668,-43.0,-45.5,-37.833333333333336,17.333333333333332
2020-08-25,-40.333333333333336,-22.333333333333332,-42.666666666666664,-44.0,-39.333333333333336,16.142857142857142
2020-08-26,-41.666666666666664,-25.333333333333332,-40.666666666666664,-43.5,-37.666666666666664,16.285714285714285
2020-08-27,-42.0,-23.666666666666668,-43.0,-44.5,-38.833333333333336,17.5
2020-08-28,-39.0,-17.666666666666668,-36.666666666666664,-42.5,-33.666666666666664,16.666666666666668
2020-08-29,-36.75,-19.333333333333332,-36.333333333333336,-40.5,-23.6,12.0
2020-08-30,-39.666666666666664,-26.0,-40.0,-58.666666666666664,-19.666666666666668,10.0
2020-08-31,-33.0,-15.333333333333334,-35.0,-37.5,-35.833333333333336,13.875
2020-09-01,-33.666666666666664,-14.333333333333334,-34.333333333333336,-39.5,-37.333333333333336,13.857142857142858
2020-09-02,-36.333333333333336,-18.666666666666668,-32.0,-35.0,-37.333333333333336,15.5
2020-09-03,-38.666666666666664,-22.666666666666668,-41.0,-36.5,-38.166666666666664,16.5
2020-09-04,-37.666666666666664,-18.333333333333332,-35.333333333333336,-33.5,-32.5,16.0
2020-09-05,-34.5,-20.0,-33.333333333333336,-30.5,-23.8,11.833333333333334
2020-09-06,-40.666666666666664,-29.666666666666668,-40.0,-54.0,-22.666666666666668,10.25
2020-09-07,-35.333333333333336,-22.666666666666668,-38.666666666666664,-31.5,-36.5,15.5
2020-09-08,-36.666666666666664,-22.0,-38.666666666666664,-34.0,-37.166666666666664,14.428571428571429
2020-09-09,-36.666666666666664,-20.666666666666668,-34.333333333333336,-32.5,-35.833333333333336,13.75
2020-09-10,-37.333333333333336,-22.333333333333332,-37.0,-29.0,-36.833333333333336,14.571428571428571
2020-09-11,-28.90909090909091,-17.125,-32.266666666666666,-37.0,-30.4,14.666666666666666
2020-09-12,-27.916666666666668,-18.666666666666668,-34.93333333333333,-35.44444444444444,-21.333333333333332,10.666666666666666
2020-09-13,-33.90909090909091,-24.875,-34.6,-40.25,-21.933333333333334,8.25
2020-09-14,-21.727272727272727,-10.75,-27.333333333333332,-35.625,-32.6,12.857142857142858
2020-09-15,-25.09090909090909,-15.375,-25.666666666666668,-48.285714285714285,-55.333333333333336,21.666666666666668
2020-09-16,-25.454545454545453,-12.625,-25.266666666666666,-35.142857142857146,-33.0,12.375
2020-09-17,-27.181818181818183,-16.25,-29.8,-37.125,-35.4,14.571428571428571
2020-09-18,-27.0,-14.75,-31.2,-35.0,-27.933333333333334,14.5
2020-09-19,-25.5,-16.11111111111111,-34.53333333333333,-37.0,-20.266666666666666,10.5
2020-09-20,-32.27272727272727,-23.25,-34.4,-36.0,-20.066666666666666,8.75
2020-09-21,-25.272727272727273,-14.75,-31.933333333333334,-31.25,-34.53333333333333,14.0
2020-09-22,-26.272727272727273,-10.25,-34.13333333333333,-33.5,-35.2,12.857142857142858
2020-09-23,-30.90909090909091,-13.25,-34.2,-34.285714285714285,-36.2,12.636363636363637
2020-09-24,-32.45454545454545,-15.125,-38.0,-35.375,-37.53333333333333,13.909090909090908
2020-09-25,-30.727272727272727,-10.625,-38.2,-30.625,-31.133333333333333,13.2
2020-09-26,-27.818181818181817,-8.88888888888889,-37.8,-32.375,-20.866666666666667,9.777777777777779
2020-09-27,-32.63636363636363,-18.375,-35.666666666666664,-32.375,-21.866666666666667,7.714285714285714
2020-09-28,-26.90909090909091,-9.125,-35.266666666666666,-31.375,-31.933333333333334,12.090909090909092
2020-09-29,-25.90909090909091,-5.5,-34.6,-31.875,-34.333333333333336,10.909090909090908
2020-09-30,-26.0,-5.25,-32.8,-30.375,-35.06666666666667,8.818181818181818
2020-10-01,-25.09090909090909,-4.625,-33.4,-29.25,-35.266666666666666,7.2727272727272725
2020-10-02,-28.818181818181817,-8.75,-36.53333333333333,-25.625,-29.466666666666665,8.363636363636363
2020-10-03,-27.75,-11.555555555555555,-39.13333333333333,-26.875,-24.6,5.888888888888889
2020-10-04,-31.833333333333332,-18.25,-36.666666666666664,-30.375,-26.666666666666668,5.142857142857143
2020-10-05,-25.181818181818183,-7.5,-31.733333333333334,-26.5,-33.333333333333336,7.636363636363637
