date,retail_and_recreation_percent_change_from_baseline_Belize,grocery_and_pharmacy_percent_change_from_baseline_Belize,parks_percent_change_from_baseline_Belize,transit_stations_percent_change_from_baseline_Belize,workplaces_percent_change_from_baseline_Belize,residential_percent_change_from_baseline_Belize
2020-11-10,-1.25,19.0,18.666666666666668,-37.666666666666664,-35.5,8.666666666666666
2020-11-11,-25.75,-21.5,15.0,-59.333333333333336,-64.0,13.333333333333334
2020-11-12,-10.75,13.333333333333334,5.0,-37.0,-38.166666666666664,11.333333333333334
2020-11-13,-10.75,4.666666666666667,3.6666666666666665,-41.0,-33.333333333333336,11.666666666666666
2020-11-14,-12.0,14.333333333333334,7.333333333333333,-39.333333333333336,-19.2,6.5
2020-11-15,-30.5,0.0,-7.0,-48.333333333333336,-26.25,6.0
2020-11-16,-11.75,1.6666666666666667,0.3333333333333333,-39.333333333333336,-32.833333333333336,11.0
2020-11-17,-19.333333333333332,-11.333333333333334,-22.0,-50.666666666666664,-39.666666666666664,15.0
2020-11-18,-13.666666666666666,0.0,-18.666666666666668,-46.333333333333336,-39.0,14.333333333333334
2020-11-19,-55.25,-36.0,-29.0,-72.33333333333333,-70.83333333333333,26.333333333333332
2020-11-20,-26.0,-8.666666666666666,-17.666666666666668,-51.0,-39.666666666666664,16.666666666666668
2020-11-21,-33.25,-8.0,-13.0,-54.333333333333336,-29.0,12.5
2020-11-22,-41.75,-12.0,-26.666666666666668,-55.0,-33.0,11.0
2020-11-23,-7.0,-2.3333333333333335,1.6666666666666667,-44.0,-33.833333333333336,13.0
2020-11-24,-20.0,-2.0,-3.0,-47.666666666666664,-36.166666666666664,13.0
2020-11-25,-17.75,1.0,-14.333333333333334,-46.666666666666664,-35.666666666666664,13.666666666666666
2020-11-26,-17.75,3.6666666666666665,-2.0,-45.0,-37.0,13.0
2020-11-27,-14.0,0.3333333333333333,-3.0,-45.666666666666664,-31.833333333333332,12.333333333333334
2020-11-28,-17.25,10.666666666666666,-2.3333333333333335,-41.333333333333336,-18.333333333333332,7.5
2020-11-29,-33.0,-3.0,-13.333333333333334,-46.333333333333336,-24.75,8.0
2020-11-30,-9.75,3.0,-0.3333333333333333,-37.666666666666664,-30.333333333333332,11.666666666666666
2020-12-01,-7.666666666666667,3.0,-7.333333333333333,-47.0,-37.0,13.0
2020-12-02,-25.5,-10.5,-20.666666666666668,-51.0,-36.333333333333336,14.333333333333334
2020-12-03,-10.333333333333334,3.0,-6.0,-44.0,-36.666666666666664,14.0
2020-12-04,-19.25,-3.3333333333333335,-11.333333333333334,-46.666666666666664,-32.833333333333336,14.333333333333334
2020-12-05,-14.75,9.333333333333334,2.0,-42.666666666666664,-18.666666666666668,7.5
2020-12-06,-30.75,4.0,-17.333333333333332,-49.666666666666664,-28.0,8.0
2020-12-07,-10.5,-0.5,-4.0,-43.666666666666664,-29.666666666666668,11.333333333333334
2020-12-08,-12.25,-3.0,-3.0,-46.333333333333336,-35.0,12.0
2020-12-09,-17.75,-2.6666666666666665,-3.6666666666666665,-45.333333333333336,-34.5,12.333333333333334
2020-12-10,-16.5,3.3333333333333335,3.6666666666666665,-42.333333333333336,-35.166666666666664,12.666666666666666
2020-12-11,-15.0,0.6666666666666666,1.6666666666666667,-44.0,-30.833333333333332,12.333333333333334
2020-12-12,-10.75,18.0,16.0,-39.666666666666664,-15.833333333333334,5.5
2020-12-13,-25.5,13.0,1.6666666666666667,-42.333333333333336,-22.25,7.0
2020-12-14,-5.5,9.666666666666666,16.0,-42.333333333333336,-30.5,11.333333333333334
2020-12-15,-8.25,7.333333333333333,8.0,-45.666666666666664,-35.333333333333336,12.0
2020-12-16,-9.75,14.333333333333334,5.666666666666667,-41.666666666666664,-33.5,11.333333333333334
2020-12-17,-11.0,13.666666666666666,7.666666666666667,-38.333333333333336,-35.166666666666664,11.333333333333334
2020-12-18,-5.75,15.0,9.0,-37.333333333333336,-30.833333333333332,11.0
2020-12-19,0.0,32.333333333333336,30.333333333333332,-24.333333333333332,-14.2,4.0
2020-12-20,-26.5,24.0,-5.0,-42.0,-22.25,8.0
2020-12-21,5.75,25.666666666666668,24.666666666666668,-31.666666666666668,-35.0,11.333333333333334
2020-12-22,4.75,33.333333333333336,17.666666666666668,-25.0,-37.666666666666664,9.666666666666666
2020-12-23,12.5,51.0,21.333333333333332,-18.0,-35.0,9.0
2020-12-24,15.25,79.0,42.333333333333336,-11.333333333333334,-42.0,8.666666666666666
