date,retail_and_recreation_percent_change_from_baseline_Paraguay,grocery_and_pharmacy_percent_change_from_baseline_Paraguay,parks_percent_change_from_baseline_Paraguay,transit_stations_percent_change_from_baseline_Paraguay,workplaces_percent_change_from_baseline_Paraguay,residential_percent_change_from_baseline_Paraguay
2020-12-23,6.764705882352941,33.0,-10.642857142857142,-0.2222222222222222,-9.777777777777779,4.866666666666666
2020-12-24,2.764705882352941,42.0625,-15.076923076923077,-12.11111111111111,-25.555555555555557,5.733333333333333
2020-12-25,-50.8235294117647,-58.11764705882353,-32.125,-66.0,-69.77777777777777,21.142857142857142
2020-12-26,-25.88888888888889,-11.3125,-31.3125,-41.38461538461539,-29.444444444444443,15.23076923076923
2020-12-27,-27.875,-12.571428571428571,-32.266666666666666,-34.90909090909091,-13.333333333333334,12.285714285714286
2020-12-28,-11.294117647058824,3.3125,-22.23076923076923,-28.5,-15.166666666666666,10.466666666666667
2020-12-29,-9.647058823529411,8.125,-22.23076923076923,-17.555555555555557,-15.833333333333334,9.866666666666667
2020-12-30,-0.8823529411764706,25.0625,-15.428571428571429,-7.444444444444445,-14.61111111111111,7.066666666666666
2020-12-31,-1.6470588235294117,37.25,-14.692307692307692,-9.444444444444445,-32.611111111111114,7.4
2021-01-01,-42.0,-52.411764705882355,-11.8,-67.0,-70.38888888888889,19.071428571428573
2021-01-02,-23.166666666666668,-7.4375,-16.625,-33.84615384615385,-34.22222222222222,14.846153846153847
2021-01-03,-24.375,-9.0,-21.266666666666666,-24.0,-18.11111111111111,9.428571428571429
2021-01-04,-16.705882352941178,5.4375,-25.866666666666667,-25.4,-17.11111111111111,12.0
2021-01-05,-13.294117647058824,9.4375,-29.071428571428573,-26.22222222222222,-18.72222222222222,13.266666666666667
2021-01-06,-17.176470588235293,-1.5,-27.214285714285715,-31.333333333333332,-15.666666666666666,13.357142857142858
2021-01-07,-18.0625,-5.375,-28.866666666666667,-33.888888888888886,-15.38888888888889,14.333333333333334
2021-01-08,-18.61111111111111,-6.0,-30.125,-39.84615384615385,-14.833333333333334,12.533333333333333
2021-01-09,-23.77777777777778,-8.9375,-37.6875,-42.84615384615385,-15.777777777777779,13.307692307692308
2021-01-10,-26.25,-12.785714285714286,-32.8,-38.81818181818182,-17.22222222222222,11.714285714285714
2021-01-11,-13.625,-5.3125,-22.615384615384617,-34.2,-15.0,9.266666666666667
2021-01-12,-23.88235294117647,-11.4375,-37.53333333333333,-37.44444444444444,-19.166666666666668,12.571428571428571
2021-01-13,-20.647058823529413,-13.875,-30.9375,-41.7,-18.333333333333332,9.133333333333333
2021-01-14,-22.294117647058822,-16.9375,-31.357142857142858,-42.9,-20.11111111111111,8.266666666666667
2021-01-15,-24.833333333333332,-18.764705882352942,-35.8125,-46.30769230769231,-22.055555555555557,9.0
2021-01-16,-29.0,-18.352941176470587,-40.125,-47.69230769230769,-23.944444444444443,10.461538461538462
2021-01-17,-43.25,-31.428571428571427,-54.375,-54.72727272727273,-30.22222222222222,14.571428571428571
2021-01-18,-24.11764705882353,-16.4375,-31.266666666666666,-43.9,-22.5,9.714285714285714
2021-01-19,-24.058823529411764,-16.625,-31.428571428571427,-42.4,-21.77777777777778,9.866666666666667
2021-01-20,-24.0,-17.1875,-33.8125,-43.55555555555556,-21.166666666666668,10.928571428571429
2021-01-21,-23.764705882352942,-17.75,-32.76923076923077,-44.4,-19.944444444444443,10.8
2021-01-22,-26.5,-19.0,-40.5625,-47.92307692307692,-20.666666666666668,12.357142857142858
2021-01-23,-28.666666666666668,-18.25,-40.3125,-49.15384615384615,-21.27777777777778,12.23076923076923
2021-01-24,-34.75,-23.0,-42.13333333333333,-49.54545454545455,-23.27777777777778,12.571428571428571
2021-01-25,-25.88235294117647,-17.25,-37.0,-45.0,-20.555555555555557,11.357142857142858
2021-01-26,-26.58823529411765,-17.3125,-37.46666666666667,-43.9,-20.833333333333332,10.928571428571429
2021-01-27,-26.11764705882353,-17.9375,-36.666666666666664,-48.4,-21.833333333333332,12.142857142857142
