date,retail_and_recreation_percent_change_from_baseline_Guatemala,grocery_and_pharmacy_percent_change_from_baseline_Guatemala,parks_percent_change_from_baseline_Guatemala,transit_stations_percent_change_from_baseline_Guatemala,workplaces_percent_change_from_baseline_Guatemala,residential_percent_change_from_baseline_Guatemala
2021-08-25,-0.1590909090909091,14.205128205128204,-16.41025641025641,-19.14814814814815,-13.990825688073395,5.4
2021-08-26,-0.13636363636363635,14.461538461538462,-18.233766233766232,-20.807692307692307,-15.05607476635514,5.12
2021-08-27,1.608695652173913,15.1,-14.9375,-19.464285714285715,-10.942857142857143,4.729166666666667
2021-08-28,1.0566037735849056,11.931818181818182,-18.303370786516854,-15.5,-6.5,2.5135135135135136
2021-08-29,-0.5,7.2894736842105265,-14.45054945054945,-17.806451612903224,-13.662162162162161,2.1
2021-08-30,3.6222222222222222,14.846153846153847,-16.17105263157895,-19.517241379310345,-12.293577981651376,3.803921568627451
2021-08-31,7.534883720930233,23.675675675675677,-13.763157894736842,-19.214285714285715,-11.833333333333334,3.86
2021-09-01,5.613636363636363,19.31578947368421,-15.23076923076923,-17.307692307692307,-13.305555555555555,4.591836734693878
2021-09-02,7.181818181818182,22.916666666666668,-14.897435897435898,-12.307692307692308,-13.666666666666666,5.12
2021-09-03,2.8666666666666667,15.073170731707316,-18.271604938271604,-18.464285714285715,-12.317757009345794,5.659574468085107
2021-09-04,-3.740740740740741,12.255813953488373,-22.08888888888889,-15.727272727272727,-8.692307692307692,4.388888888888889
2021-09-05,-3.106382978723404,9.18421052631579,-17.033333333333335,-16.133333333333333,-17.253333333333334,3.7333333333333334
2021-09-06,3.022727272727273,15.820512820512821,-15.333333333333334,-19.566666666666666,-13.100917431192661,4.901960784313726
2021-09-07,3.813953488372093,15.416666666666666,-14.402597402597403,-19.85185185185185,-13.268518518518519,4.54
2021-09-08,3.466666666666667,16.025,-15.474358974358974,-16.037037037037038,-12.897196261682243,4.88
2021-09-09,5.2444444444444445,19.53846153846154,-15.142857142857142,-14.964285714285714,-13.092592592592593,5.0
2021-09-10,1.5777777777777777,15.473684210526315,-17.353658536585368,-20.357142857142858,-9.839622641509434,5.574468085106383
2021-09-11,1.0192307692307692,10.953488372093023,-20.10112359550562,-15.636363636363637,-6.044444444444444,3.388888888888889
2021-09-12,0.9375,8.162162162162161,-13.704545454545455,-18.387096774193548,-13.68,2.033333333333333
2021-09-13,3.697674418604651,15.794871794871796,-13.714285714285714,-16.586206896551722,-11.63302752293578,4.117647058823529
2021-09-14,11.813953488372093,22.594594594594593,-8.25974025974026,-15.148148148148149,-13.247706422018348,2.5
