date,retail_and_recreation_percent_change_from_baseline_Brazil,grocery_and_pharmacy_percent_change_from_baseline_Brazil,parks_percent_change_from_baseline_Brazil,transit_stations_percent_change_from_baseline_Brazil,workplaces_percent_change_from_baseline_Brazil,residential_percent_change_from_baseline_Brazil
2020-04-20,-45.09424083769633,-7.5104551045510455,-40.37987012987013,-52.42644628099173,-29.947872977831036,15.539528432732316
2020-04-21,-68.3515923566879,-38.6155950752394,-45.88767550702028,-62.7752808988764,-58.05913692061801,22.787934186471663
2020-04-22,-45.025380710659896,-11.650485436893204,-40.46046511627907,-49.173986486486484,-23.03204353083434,14.262123197903014
2020-04-23,-46.68969849246231,-14.280898876404494,-39.920489296636084,-49.83103448275862,-24.14936247723133,15.159151193633953
2020-04-24,-48.122260668973475,-13.104693140794224,-42.477551020408164,-50.25592417061611,-21.098269468479604,15.700797872340425
2020-04-25,-52.635440180586905,-12.826032540675845,-43.80701754385965,-50.89376053962901,-20.031796502384736,13.47864768683274
2020-04-26,-62.30276564774381,-22.736134453781514,-49.25439624853458,-56.40120967741935,-20.365767878077374,13.201133144475921
2020-04-27,-46.06159895150721,-16.53584447144593,-43.34349919743178,-50.57654723127036,-19.693266832917704,14.553050397877984
2020-04-28,-44.66367137355584,-13.320731707317073,-40.44462025316456,-48.30847457627119,-21.158866995073893,14.040417209908735
2020-04-29,-43.79314720812183,-11.217338217338217,-38.72403100775194,-47.14041095890411,-20.905372405372404,14.027272727272727
2020-04-30,-36.533078880407125,7.662484316185696,-33.614886731391586,-42.240484429065745,-19.960024600246,11.45536869340233
2020-05-01,-67.61361014994233,-38.092757306226176,-43.63019390581717,-60.362694300518136,-59.337787279529664,24.124031007751938
2020-05-02,-49.77303370786517,-3.443456162642948,-41.425860023724795,-50.62251655629139,-22.326465927099843,13.289048473967684
2020-05-03,-61.54424778761062,-19.703020134228186,-47.93427230046948,-54.81712062256809,-18.75825471698113,12.429362880886426
2020-05-04,-42.074901445466494,-6.91320293398533,-41.001633986928105,-47.01309328968903,-17.987437185929647,13.498684210526315
2020-05-05,-41.66147859922179,-4.257317073170731,-39.12480252764613,-45.44312393887946,-19.51304347826087,13.532383419689118
2020-05-06,-40.50192061459667,-0.7518337408312958,-38.156739811912225,-44.33561643835616,-19.05289052890529,14.053177691309987
2020-05-07,-37.38529784537389,5.413965087281795,-36.540192926045016,-43.79509632224168,-18.90746452806909,13.811855670103093
2020-05-08,-36.18648018648019,8.650544135429262,-35.85195530726257,-42.266773162939295,-15.785804020100503,14.0481144343303
2020-05-09,-37.261660978384526,12.561538461538461,-38.70878459687124,-41.707563025210085,-14.246128769356153,11.743103448275862
2020-05-10,-55.06550218340611,-2.1528013582342953,-48.317479191438764,-49.22762645914397,-2.405707196029777,9.309823677581864
2020-05-11,-40.13192612137203,-5.887409200968523,-40.19047619047619,-45.527272727272724,-17.268093140339836,13.828534031413612
2020-05-12,-42.02831402831403,-6.745742092457421,-41.21835443037975,-46.020725388601036,-18.95087064676617,14.145077720207254
2020-05-13,-44.21045918367347,-9.966952264381884,-41.847113884555384,-47.582191780821915,-20.39890377588307,14.893229166666666
2020-05-14,-43.025252525252526,-8.26774595267746,-41.344339622641506,-47.417391304347824,-19.82850092535472,14.775163398692811
2020-05-15,-44.49942062572422,-5.686087990487515,-42.940852819807425,-47.90430622009569,-18.216604244694132,15.509283819628648
2020-05-16,-48.83238312428735,-6.026282853566959,-45.12703962703963,-49.05733558178752,-16.754442649434573,13.633333333333333
2020-05-17,-59.15373352855051,-16.5109243697479,-48.497658079625296,-54.541666666666664,-13.799760191846524,13.159029649595688
2020-05-18,-41.955263157894734,-9.68848484848485,-41.71915584415584,-48.243862520458265,-16.600502512562816,14.18766404199475
2020-05-19,-43.062901155327346,-10.105006105006105,-41.12145110410095,-46.567521367521366,-18.16002490660025,14.141009055627425
2020-05-20,-41.925925925925924,-4.248780487804878,-38.307565789473685,-44.75468483816014,-18.68103448275862,14.238709677419354
2020-05-21,-42.770992366412216,-4.430012610340479,-38.86371100164204,-45.36915077989602,-18.93169230769231,14.401034928848642
2020-05-22,-45.92433061699651,-4.340553549939831,-42.76429567642957,-46.95207667731629,-17.263289555972484,15.478318002628122
2020-05-23,-51.314580941446614,-5.204488778054863,-48.447904191616765,-49.415156507413506,-15.936944219886822,13.891228070175439
2020-05-24,-63.53362573099415,-17.525083612040135,-55.23522316043426,-56.86254980079681,-15.30071599045346,14.01639344262295
2020-05-25,-46.588235294117645,-10.073891625615763,-43.73970345963756,-49.35225375626043,-24.08179581795818,16.075757575757574
2020-05-26,-42.37012987012987,-5.626520681265207,-41.051446945337624,-45.20376712328767,-17.420461634435433,13.957309184993532
2020-05-27,-40.983418367346935,-3.606060606060606,-38.15711947626841,-43.57580919931857,-16.055108359133126,14.061146496815287
2020-05-28,-39.64548919949174,-1.1175,-36.64390243902439,-43.0504347826087,-15.435024752475247,13.870722433460076
2020-05-29,-39.57209302325582,4.318562874251497,-37.45056497175141,-42.052547770700635,-12.811667723525682,13.975641025641025
2020-05-30,-43.618721461187214,4.056890012642225,-39.77911164465786,-42.80833333333333,-8.878109452736318,11.584745762711865
2020-05-31,-56.71345029239766,-8.472881355932204,-45.78019323671498,-50.16374269005848,-6.398773006134969,11.505181347150259
2020-06-01,-37.73627844712182,0.5714285714285714,-40.07960199004975,-42.99832214765101,-12.224424552429667,13.122919334186939
2020-06-02,-38.3160621761658,-0.775609756097561,-39.85691056910569,-42.53846153846154,-13.662658227848102,13.580808080808081
2020-06-03,-36.851091142490375,1.3728813559322033,-37.00981996726678,-40.522413793103446,-13.15211970074813,13.662893081761005
2020-06-04,-36.37820512820513,2.6106965174129355,-36.94942903752039,-40.473958333333336,-13.361702127659575,13.664564943253469
2020-06-05,-34.812720848056536,10.143719806763285,-37.565714285714286,-39.593548387096774,-10.987843889955215,13.728662420382166
2020-06-06,-38.08891454965358,10.32484076433121,-40.596385542168676,-40.14548494983278,-7.745833333333334,11.64824120603015
2020-06-07,-53.135095447870775,-4.016920473773266,-45.78871548619448,-48.71455938697318,-5.06288532675709,11.863874345549739
2020-06-08,-30.630173564753004,5.285539215686274,-35.159322033898306,-39.51907131011609,-7.049848287819679,12.357774968394438
2020-06-09,-33.91644908616188,1.158924205378973,-38.34860883797054,-39.46127366609294,-9.328131772865193,12.68718592964824
2020-06-10,-27.10438144329897,11.862530413625304,-33.53630363036304,-35.7319587628866,-8.901603814477676,11.26583850931677
2020-06-11,-52.031486146095716,-16.015873015873016,-36.23671497584541,-51.10834813499112,-45.163636363636364,20.339228295819936
2020-06-12,-23.009501187648457,16.917073170731708,-29.535353535353536,-39.545166402535656,-14.97747942832395,13.735332464146023
2020-06-13,-40.33563218390805,-0.3875,-37.507334963325185,-42.833060556464815,-6.278366111951589,11.805695142378559
2020-06-14,-53.281976744186046,-11.18288590604027,-45.617298578199055,-49.15909090909091,-1.6190817790530847,11.374045801526718
2020-06-15,-32.591700133868805,0.06097560975609756,-38.96277495769881,-40.760330578512395,-8.070190641247834,13.003807106598984
2020-06-16,-33.89033942558747,-0.3105968331303289,-37.8379705400982,-40.09417808219178,-9.120883882149046,13.006297229219143
2020-06-17,-34.06041131105398,-0.44430844553243576,-35.32183908045977,-39.48620689655172,-9.640381282495667,12.922596754057428
2020-06-18,-34.47314578005115,-1.79182156133829,-34.72920065252855,-39.80594405594405,-9.858318890814559,12.890840652446675
2020-06-19,-35.33255813953488,1.8023952095808384,-35.70963172804532,-39.56089743589744,-7.469670710571924,13.385786802030458
2020-06-20,-38.986254295532646,3.955919395465995,-35.81730769230769,-39.859271523178805,-2.6581502299437916,11.337726523887973
2020-06-21,-50.48780487804878,-7.331632653061225,-38.30059880239521,-46.926829268292686,0.1969914040114613,11.214105793450882
2020-06-22,-33.24699599465955,-2.0648714810281517,-36.08,-40.50411861614498,-8.025574338968358,12.876590330788805
2020-06-23,-33.626943005181346,1.2368098159509202,-33.80098684210526,-38.6473594548552,-8.822790294627383,12.41875
2020-06-24,-37.723918575063614,-4.749385749385749,-34.052545155993435,-40.13139931740614,-14.569510610653962,13.241956241956242
2020-06-25,-36.18974358974359,-0.7509386733416771,-35.61712439418417,-39.077989601386484,-10.46360485268631,13.30188679245283
2020-06-26,-37.8075117370892,1.6367980884109916,-38.83403656821378,-40.719874804381845,-8.301084598698482,14.128662420382165
2020-06-27,-46.325635103926096,-2.1806775407779173,-45.86531585220501,-46.0,-7.062912227295789,13.701013513513514
2020-06-28,-55.547723935389136,-12.329411764705883,-46.50833333333333,-50.294346978557506,-3.726056338028169,12.689119170984457
2020-06-29,-36.974530831099194,-4.067401960784314,-40.98673300165837,-42.65466448445172,-9.849653379549393,13.743556701030927
2020-06-30,-34.3984375,3.823095823095823,-38.84477124183007,-39.62098138747885,-9.473365093113902,12.0425
2020-07-01,-33.785252263906855,6.195151515151515,-37.38375796178344,-38.940677966101696,-10.584562012142237,11.73625
2020-07-02,-31.133504492939664,8.998757763975155,-34.289176090468494,-37.31944444444444,-9.945430922477263,12.404494382022472
2020-07-03,-31.714453584018802,11.120145631067961,-35.415841584158414,-37.34444444444444,-6.75531453362256,13.075853350189634
2020-07-04,-35.81986143187067,11.400758533501897,-35.625,-38.09650582362729,-3.4240409207161124,11.16006600660066
2020-07-05,-50.415929203539825,-6.01010101010101,-42.134803921568626,-46.905123339658445,-2.5839260312944523,11.301020408163266
2020-07-06,-28.699055330634277,9.52088452088452,-35.77777777777778,-37.37128712871287,-7.732553099263113,12.280856423173804
2020-07-07,-29.273794002607563,10.925650557620818,-35.175379426644184,-35.68900343642612,-9.241767764298094,12.025062656641603
2020-07-08,-30.0,8.66869671132765,-33.296950240770464,-35.663807890222984,-9.187608318890815,12.087281795511222
2020-07-09,-29.15958815958816,8.983770287141073,-32.238952536824875,-35.393414211438476,-9.502384048547897,12.218045112781954
2020-07-10,-29.203529411764706,11.859903381642512,-31.99148936170213,-34.47929936305732,-6.2039045553145336,12.192695214105793
2020-07-11,-36.42906574394463,8.0,-34.69891172914148,-37.25503355704698,-3.7506387327542154,10.823140495867769
2020-07-12,-48.180616740088105,-7.683501683501683,-36.750599520383695,-44.19702602230483,-1.734620886981402,10.326582278481013
2020-07-13,-29.728,2.3818849449204405,-33.998333333333335,-37.374376039933445,-7.441648590021692,12.05037783375315
2020-07-14,-31.31111111111111,1.5458996328029375,-35.74342105263158,-37.50253807106599,-9.082827406764961,12.506866416978777
2020-07-15,-29.587096774193547,5.8699878493317135,-33.60291734197731,-35.95762711864407,-8.236876355748374,12.5
2020-07-16,-30.261658031088082,4.469565217391304,-33.641693811074916,-36.1629116117851,-9.501517121803207,12.77652933832709
2020-07-17,-30.348235294117647,7.785024154589372,-32.88169014084507,-35.42155309033281,-5.791141988710378,12.77638190954774
2020-07-18,-35.06880733944954,7.266414141414141,-32.36198547215496,-37.15912897822446,-3.068702290076336,10.998347107438017
2020-07-19,-45.63780663780664,-5.6592844974446335,-32.76618705035971,-42.274102079395085,-1.2598425196850394,10.314861460957179
2020-07-20,-28.065420560747665,5.398273736128237,-32.85166666666667,-36.01650165016502,-5.668687743611954,12.01129234629862
2020-07-21,-29.202614379084967,4.136752136752137,-31.942434210526315,-35.60950764006791,-6.892161108705067,11.971464019851117
2020-07-22,-28.704370179948587,5.4518879415347135,-29.1104,-34.57849829351536,-7.160814911140009,12.066749072929543
2020-07-23,-27.900388098318242,5.928927680798005,-26.913256955810148,-33.12869565217391,-7.024718126626192,11.998762376237623
2020-07-24,-29.368235294117646,9.225728155339805,-28.963224893917964,-33.218152866242036,-4.6529284164859,12.48125
2020-07-25,-34.34478808705613,8.51526717557252,-29.255189255189254,-35.07833333333333,-3.308516063233044,10.880131362889983
2020-07-26,-44.8419540229885,-4.965986394557823,-32.26779252110977,-41.749529190207156,-1.5562678062678064,10.244949494949495
2020-07-27,-28.38851802403204,3.7288343558282206,-31.828231292517007,-35.66996699669967,-6.52579107065453,12.218158890290038
2020-07-28,-29.7265625,3.917283950617284,-32.52467105263158,-35.17838765008576,-7.269180754226268,12.114002478314745
2020-07-29,-29.634241245136188,5.143031784841075,-32.97882736156352,-35.29931972789116,-7.850390286209887,12.353960396039604
2020-07-30,-27.50904392764858,8.37375,-31.26929392446634,-34.71626297577855,-7.452494577006507,12.118372379778052
2020-07-31,-25.71919431279621,15.58272506082725,-30.052932761087266,-31.893650793650792,-4.083007388092134,11.9214463840399
2020-08-01,-28.18223234624146,17.19309462915601,-28.430133657351153,-33.11390284757119,-0.9922958397534669,9.948136142625607
2020-08-02,-39.75356125356125,1.359106529209622,-29.16807738814994,-39.16541353383459,-0.546236559139785,9.615960099750623
