date,retail_and_recreation_percent_change_from_baseline_Nicaragua,grocery_and_pharmacy_percent_change_from_baseline_Nicaragua,parks_percent_change_from_baseline_Nicaragua,transit_stations_percent_change_from_baseline_Nicaragua,workplaces_percent_change_from_baseline_Nicaragua,residential_percent_change_from_baseline_Nicaragua
2021-06-21,14.25,29.0,-5.076923076923077,10.5,-0.5,-4.75
2021-06-22,15.75,32.44444444444444,-3.230769230769231,13.875,0.5,-5.222222222222222
2021-06-23,27.375,31.333333333333332,3.5384615384615383,15.25,-1.0,-6.777777777777778
2021-06-24,11.5,22.0,-5.3076923076923075,10.875,-3.388888888888889,-4.2
2021-06-25,8.7,27.0,-2.2142857142857144,10.25,-7.277777777777778,-2.875
2021-06-26,3.8181818181818183,20.88888888888889,-7.5,8.375,-16.166666666666668,-2.125
2021-06-27,5.9,25.5,-3.8666666666666667,7.714285714285714,-25.11764705882353,-1.2
2021-06-28,11.875,25.555555555555557,-7.3076923076923075,8.0,-2.7222222222222223,-5.333333333333333
2021-06-29,5.666666666666667,21.88888888888889,-9.846153846153847,2.75,-18.61111111111111,-1.25
2021-06-30,14.555555555555555,33.77777777777778,-1.2307692307692308,12.375,0.1111111111111111,-4.222222222222222
2021-07-01,11.333333333333334,32.333333333333336,-5.153846153846154,13.375,-2.5555555555555554,-3.0
2021-07-02,16.0,38.333333333333336,3.2142857142857144,14.5,1.0588235294117647,-4.125
2021-07-03,15.636363636363637,36.666666666666664,2.9285714285714284,18.25,-12.058823529411764,-3.875
2021-07-04,9.0,28.375,-6.533333333333333,11.285714285714286,-23.58823529411765,-0.6
2021-07-05,16.25,32.888888888888886,-7.6923076923076925,13.625,-11.444444444444445,-1.625
2021-07-06,13.666666666666666,32.22222222222222,-7.076923076923077,15.0,-11.166666666666666,-2.125
2021-07-07,14.125,28.88888888888889,-2.3076923076923075,11.625,-13.333333333333334,-4.666666666666667
2021-07-08,12.88888888888889,27.88888888888889,-5.076923076923077,15.0,-12.944444444444445,-1.6666666666666667
2021-07-09,11.5,31.0,-0.5,14.0,-10.944444444444445,-2.125
2021-07-10,0.0,20.3,-15.571428571428571,6.5,-16.647058823529413,-1.25
2021-07-11,7.3,28.25,-7.2,10.0,-24.764705882352942,-0.4
2021-07-12,16.25,30.77777777777778,-5.846153846153846,13.125,-9.944444444444445,-2.25
2021-07-13,15.75,30.0,-6.230769230769231,11.625,-10.333333333333334,-2.625
2021-07-14,17.125,33.888888888888886,-5.230769230769231,6.875,-10.444444444444445,-2.7777777777777777
2021-07-15,27.125,46.111111111111114,1.1538461538461537,10.375,-10.0,-3.4
2021-07-16,22.1,49.333333333333336,6.0,16.125,-7.333333333333333,-4.125
2021-07-17,21.272727272727273,49.666666666666664,9.0,16.625,-12.529411764705882,-4.25
2021-07-18,24.3,50.625,8.857142857142858,13.142857142857142,-21.352941176470587,-3.4
2021-07-19,-4.375,9.555555555555555,2.1538461538461537,-32.875,-55.72222222222222,10.75
2021-07-20,24.25,47.333333333333336,-0.9230769230769231,18.125,-3.2222222222222223,-4.666666666666667
2021-07-21,18.875,39.22222222222222,-1.8461538461538463,14.375,-2.0,-4.222222222222222
2021-07-22,17.75,36.0,-1.4615384615384615,13.0,-2.611111111111111,-3.8
2021-07-23,14.2,39.333333333333336,0.5714285714285714,12.125,1.2352941176470589,-3.625
2021-07-24,2.090909090909091,29.0,-11.5,0.75,-13.941176470588236,-1.25
2021-07-25,16.1,43.375,5.666666666666667,10.0,-21.823529411764707,-1.8
