date,retail_and_recreation_percent_change_from_baseline_Mexico,grocery_and_pharmacy_percent_change_from_baseline_Mexico,parks_percent_change_from_baseline_Mexico,transit_stations_percent_change_from_baseline_Mexico,workplaces_percent_change_from_baseline_Mexico,residential_percent_change_from_baseline_Mexico
2021-08-30,-5.575757575757576,24.515151515151516,-22.545454545454547,-7.303030303030303,-10.848484848484848,6.515151515151516
2021-08-31,-2.121212121212121,26.606060606060606,-21.0,-4.515151515151516,-12.93939393939394,6.515151515151516
2021-09-01,-0.6363636363636364,28.363636363636363,-20.87878787878788,-3.6363636363636362,-12.909090909090908,6.636363636363637
2021-09-02,-2.9696969696969697,24.12121212121212,-23.78787878787879,-6.454545454545454,-12.969696969696969,7.303030303030303
2021-09-03,-6.818181818181818,23.606060606060606,-24.636363636363637,-8.375,-6.303030303030303,7.151515151515151
2021-09-04,-4.7272727272727275,25.78787878787879,-21.78787878787879,-4.78125,12.06060606060606,3.606060606060606
2021-09-05,-6.878787878787879,20.78787878787879,-23.818181818181817,-6.25,15.363636363636363,3.696969696969697
2021-09-06,-5.2727272727272725,22.757575757575758,-22.575757575757574,-5.9393939393939394,-9.575757575757576,6.333333333333333
2021-09-07,-6.454545454545454,18.606060606060606,-23.03030303030303,-5.787878787878788,-12.848484848484848,6.696969696969697
2021-09-08,-6.424242424242424,19.545454545454547,-22.90909090909091,-6.96969696969697,-13.0,7.212121212121212
2021-09-09,-5.787878787878788,20.606060606060606,-22.636363636363637,-7.848484848484849,-12.696969696969697,7.0606060606060606
2021-09-10,-8.333333333333334,21.666666666666668,-22.696969696969695,-8.3125,-7.151515151515151,6.7272727272727275
2021-09-11,-5.696969696969697,24.21212121212121,-21.03030303030303,-4.78125,12.575757575757576,3.3333333333333335
2021-09-12,-7.545454545454546,19.12121212121212,-21.848484848484848,-6.625,15.848484848484848,3.5454545454545454
2021-09-13,-4.363636363636363,23.424242424242426,-20.242424242424242,-5.909090909090909,-8.787878787878787,5.909090909090909
2021-09-14,0.3333333333333333,27.545454545454547,-16.545454545454547,-1.0303030303030303,-11.969696969696969,5.545454545454546
2021-09-15,7.0,40.27272727272727,-8.818181818181818,3.8484848484848486,-13.212121212121213,2.0606060606060606
2021-09-16,-11.242424242424242,15.787878787878787,-20.363636363636363,-19.666666666666668,-52.27272727272727,14.090909090909092
2021-09-17,-5.303030303030303,25.96969696969697,-20.09090909090909,-7.6875,-13.151515151515152,7.636363636363637
2021-09-18,-5.424242424242424,24.939393939393938,-18.484848484848484,-3.6875,8.151515151515152,3.606060606060606
2021-09-19,-6.484848484848484,20.696969696969695,-19.696969696969695,3.0625,14.545454545454545,2.9696969696969697
2021-09-20,-4.121212121212121,24.363636363636363,-18.727272727272727,-1.393939393939394,-8.181818181818182,5.636363636363637
2021-09-21,-4.575757575757576,21.060606060606062,-18.727272727272727,-2.5454545454545454,-11.06060606060606,6.212121212121212
2021-09-22,-4.848484848484849,21.060606060606062,-20.696969696969695,-3.8181818181818183,-9.0,6.7272727272727275
