date,retail_and_recreation_percent_change_from_baseline_Ecuador,grocery_and_pharmacy_percent_change_from_baseline_Ecuador,parks_percent_change_from_baseline_Ecuador,transit_stations_percent_change_from_baseline_Ecuador,workplaces_percent_change_from_baseline_Ecuador,residential_percent_change_from_baseline_Ecuador
2020-04-13,-73.01754385964912,-60.6078431372549,-64.3125,-78.38095238095238,-72.54237288135593,35.74193548387097
2020-04-14,-73.50877192982456,-61.0625,-64.7433628318584,-77.3953488372093,-72.40336134453781,35.064516129032256
2020-04-15,-73.62068965517241,-61.56,-65.23008849557522,-77.14634146341463,-72.51694915254237,35.61290322580645
2020-04-16,-72.44262295081967,-60.458333333333336,-64.40178571428571,-76.83333333333333,-72.35042735042735,35.774193548387096
2020-04-17,-73.39682539682539,-58.905660377358494,-64.66386554621849,-77.77777777777777,-70.83333333333333,39.61290322580645
2020-04-18,-85.35087719298245,-79.53703703703704,-76.35576923076923,-86.70270270270271,-67.10989010989012,34.35
2020-04-19,-85.2280701754386,-82.69090909090909,-76.39603960396039,-87.25714285714285,-59.24050632911393,26.615384615384617
2020-04-20,-68.27586206896552,-55.46153846153846,-59.904347826086955,-76.13333333333334,-68.93103448275862,34.03125
2020-04-21,-71.60714285714286,-59.0,-63.21818181818182,-76.9047619047619,-70.82051282051282,34.03225806451613
2020-04-22,-70.63934426229508,-59.02,-63.21052631578947,-76.6590909090909,-70.03448275862068,33.90625
2020-04-23,-71.21666666666667,-59.326530612244895,-64.06086956521739,-75.76190476190476,-70.12173913043478,34.4375
2020-04-24,-71.88709677419355,-58.16981132075472,-63.92307692307692,-77.77272727272727,-68.79824561403508,37.90625
2020-04-25,-83.60655737704919,-77.9074074074074,-74.02777777777777,-84.3157894736842,-63.24175824175824,33.65
2020-04-26,-84.23214285714286,-81.68518518518519,-75.71428571428571,-86.96875,-56.03846153846154,26.5
2020-04-27,-67.44827586206897,-56.745098039215684,-60.474137931034484,-76.24444444444444,-66.66371681415929,33.75
2020-04-28,-67.34482758620689,-55.2,-59.62162162162162,-75.09302325581395,-67.17699115044248,31.46875
2020-04-29,-67.55172413793103,-56.775510204081634,-60.2991452991453,-73.9090909090909,-66.83620689655173,32.28125
2020-04-30,-67.01639344262296,-55.53061224489796,-59.60344827586207,-74.21739130434783,-65.56637168141593,30.75
2020-05-01,-68.734375,-54.407407407407405,-61.016666666666666,-76.0,-68.08849557522124,36.71875
2020-05-02,-80.54838709677419,-73.42592592592592,-71.74311926605505,-83.35,-58.93258426966292,31.375
2020-05-03,-81.15254237288136,-78.24528301886792,-72.64814814814815,-85.05555555555556,-50.69736842105263,25.263157894736842
2020-05-04,-61.278688524590166,-50.31372549019608,-54.7008547008547,-72.56521739130434,-62.05357142857143,31.41176470588235
2020-05-05,-62.14754098360656,-49.59183673469388,-55.04237288135593,-71.13725490196079,-62.69090909090909,31.0
2020-05-06,-61.29032258064516,-48.673469387755105,-54.48760330578512,-71.82,-62.23893805309734,31.323529411764707
2020-05-07,-61.59375,-48.92,-55.15966386554622,-70.3,-61.585585585585584,31.34285714285714
2020-05-08,-61.492537313432834,-45.90384615384615,-54.25806451612903,-71.94339622641509,-59.24107142857143,34.294117647058826
2020-05-09,-73.53731343283582,-64.16666666666667,-65.44628099173553,-77.17777777777778,-50.275862068965516,29.06896551724138
2020-05-10,-70.578125,-67.5576923076923,-63.584,-77.80952380952381,-33.76056338028169,21.166666666666668
2020-05-11,-58.60655737704918,-48.68,-52.228813559322035,-71.72549019607843,-58.009009009009006,30.228571428571428
2020-05-12,-57.557377049180324,-44.666666666666664,-51.03361344537815,-69.88461538461539,-58.054545454545455,29.416666666666668
2020-05-13,-58.3968253968254,-46.63265306122449,-52.17796610169491,-70.33333333333333,-58.00877192982456,30.13888888888889
2020-05-14,-58.693548387096776,-45.3469387755102,-52.19166666666667,-69.58823529411765,-58.107142857142854,29.97142857142857
